"genes","task_id","curr_size","top_cluster_gr90","glm_coef_gr90","seed_number"
"ABCC11",9,90,"c1",3.70254883184843,589
"ACTA2",9,90,"c7",4.93046131381047,589
"ACTG2",9,90,"c4",2.2587186954372,589
"ADAM9",9,90,"c1",1.60738648710766,589
"ADGRE5",9,90,"c3",0.524508472982704,589
"ADH1B",9,90,"c2",0.307298931952813,589
"ADIPOQ",9,90,"NoSig",0,589
"AGR3",9,90,"c1",0.44220075927364,589
"AIF1",9,90,"c3",2.46792883290519,589
"AKR1C1",9,90,"c1",0.139617456786642,589
"AKR1C3",9,90,"c2",0.0741944852095113,589
"ALDH1A3",9,90,"c4",0.370463391675448,589
"ANGPT2",9,90,"c7",0.620127547025642,589
"ANKRD28",9,90,"c1",0.253792639713735,589
"ANKRD29",9,90,"c7",0.637222806388538,589
"ANKRD30A",9,90,"c1",6.75492879477142,589
"APOBEC3A",9,90,"c1",0.0200101398596489,589
"APOBEC3B",9,90,"c1",0.101362743737407,589
"APOC1",9,90,"c3",1.81369350948299,589
"AQP1",9,90,"c7",6.55282049579624,589
"AQP3",9,90,"c1",0.270505573961567,589
"AR",9,90,"c1",1.38046985373494,589
"AVPR1A",9,90,"c7",0.319108449071382,589
"BACE2",9,90,"c1",0.40201744170382,589
"BANK1",9,90,"c6",1.31444244335835,589
"BASP1",9,90,"c2",1.43832233424727,589
"C15orf48",9,90,"c3",0.721841037375933,589
"C1QA",9,90,"c3",0.89173422166215,589
"C1QC",9,90,"c3",1.35925800551475,589
"C2orf42",9,90,"c1",0.100958504330859,589
"C5orf46",9,90,"c4",0.297408338053184,589
"C6orf132",9,90,"c1",0.376700589821829,589
"CAV1",9,90,"c7",2.74470025924178,589
"CAVIN2",9,90,"c7",0.39569603833867,589
"CCDC6",9,90,"c1",1.9071203860995,589
"CCDC80",9,90,"c2",6.08868191547947,589
"CCL5",9,90,"c5",1.25091870744196,589
"CCL8",9,90,"c3",0.236496294024378,589
"CCND1",9,90,"c1",7.7989479088999,589
"CCPG1",9,90,"c2",0.931601602802495,589
"CCR7",9,90,"c5",0.610038621838492,589
"CD14",9,90,"c3",1.09235211160483,589
"CD163",9,90,"c3",1.73960987835945,589
"CD19",9,90,"c6",0.416633020874087,589
"CD247",9,90,"c5",0.618012334341763,589
"CD27",9,90,"c6",0.614870417307437,589
"CD274",9,90,"c5",0.0740132811062986,589
"CD3E",9,90,"c5",2.69602375616988,589
"CD3G",9,90,"c5",0.743036576507462,589
"CD4",9,90,"c8",3.45670330486745,589
"CD68",9,90,"c3",3.63741853134627,589
"CD69",9,90,"c5",0.635851056485748,589
"CD79A",9,90,"c6",0.909897139273279,589
"CD79B",9,90,"c6",0.228854867209459,589
"CD80",9,90,"c3",0.104757319364915,589
"CD83",9,90,"c3",0.764605235036897,589
"CD86",9,90,"c3",0.727497248125688,589
"CD8A",9,90,"c5",1.20162479611772,589
"CD9",9,90,"c1",4.05697185765925,589
"CD93",9,90,"c7",3.52078775684871,589
"CDC42EP1",9,90,"c4",0.229306864169548,589
"CDH1",9,90,"c1",4.17626737699388,589
"CEACAM6",9,90,"c1",3.69022144674253,589
"CEACAM8",9,90,"c1",0.133741102370057,589
"CENPF",9,90,"c1",0.647216485022718,589
"CLEC14A",9,90,"c7",1.85820157812501,589
"CLEC9A",9,90,"c3",0.123025143541355,589
"CLECL1",9,90,"c6",0.151553581374086,589
"CLIC6",9,90,"c4",0.0510723674927949,589
"CPA3",9,90,"c9",2.13549223076355,589
"CRISPLD2",9,90,"c2",1.3919285858055,589
"CTH",9,90,"c1",0.0434027887432407,589
"CTLA4",9,90,"c5",0.443412154627893,589
"CTSG",9,90,"c9",0.825244712444268,589
"CTTN",9,90,"c1",3.6149620512888,589
"CX3CR1",9,90,"c4",0.193055313359843,589
"CXCL12",9,90,"c2",5.94652329731687,589
"CXCL16",9,90,"c3",0.855628834083278,589
"CXCL5",9,90,"c4",0.0346824005353198,589
"CXCR4",9,90,"c5",2.45637083651687,589
"CYTIP",9,90,"c5",0.916844500126791,589
"DAPK3",9,90,"c1",0.142721335555296,589
"DMKN",9,90,"c4",0.25802210069859,589
"DNAAF1",9,90,"c1",0.0319534558374891,589
"DNTTIP1",9,90,"c1",0.347675991028602,589
"DPT",9,90,"c2",0.702469892107848,589
"DSC2",9,90,"c4",1.87598943652556,589
"DSP",9,90,"c4",2.88743117255583,589
"DST",9,90,"c4",7.09152573277368,589
"DUSP2",9,90,"c5",0.216933707077142,589
"DUSP5",9,90,"c1",0.267484144094977,589
"EGFL7",9,90,"c7",0.507818651771176,589
"EGFR",9,90,"c4",0.961714054405386,589
"EIF4EBP1",9,90,"c1",0.323193971255943,589
"ENAH",9,90,"c1",2.06270783160348,589
"EPCAM",9,90,"c1",9.27257259931976,589
"ERBB2",9,90,"c1",20.1955859894248,589
"ERN1",9,90,"c2",0.624347924251393,589
"ESM1",9,90,"c7",0.284363654384752,589
"ESR1",9,90,"c4",0.8694940401778,589
"FAM107B",9,90,"c5",0.961546473224298,589
"FAM49A",9,90,"c2",0.153324253710122,589
"FASN",9,90,"c1",5.7244998558348,589
"FBLN1",9,90,"c2",2.21033386068744,589
"FCER1A",9,90,"c3",0.481523390924287,589
"FCER1G",9,90,"c3",4.02227673031084,589
"FCGR3A",9,90,"c3",0.846552597030304,589
"FGL2",9,90,"c3",2.77091667170946,589
"FLNB",9,90,"c1",1.95304889136236,589
"FOXA1",9,90,"c1",8.23559387877552,589
"FOXC2",9,90,"c4",0.183467149915821,589
"FOXP3",9,90,"c5",0.134087953198929,589
"FSTL3",9,90,"c2",0.344963477225229,589
"GATA3",9,90,"c1",8.07764428275224,589
"GJB2",9,90,"c2",0.741154621246288,589
"GLIPR1",9,90,"c3",0.99237526721829,589
"GNLY",9,90,"c5",0.184447858218545,589
"GPR183",9,90,"c3",1.02020161946035,589
"GZMA",9,90,"c5",0.758215672588042,589
"GZMK",9,90,"c5",0.0644755707201601,589
"HAVCR2",9,90,"c3",1.0722814815278,589
