"genes","task_id","curr_size","top_cluster_gr10","glm_coef_gr10","seed_number"
"CD28",1,10,"NoSig",0,989
"CD300A",1,10,"NoSig",0,989
"CD33",1,10,"NoSig",0,989
"CD34",1,10,"NoSig",0,989
"CD36",1,10,"NoSig",0,989
"CD37",1,10,"NoSig",0,989
"CD38",1,10,"NoSig",0,989
"CD3D",1,10,"NoSig",0,989
"CD3E",1,10,"NoSig",0,989
"CD3G",1,10,"NoSig",0,989
"CD4",1,10,"NoSig",0,989
"CD40",1,10,"NoSig",0,989
"CD40LG",1,10,"NoSig",0,989
"CD44",1,10,"c2",1.6442290687031,989
"CD47",1,10,"NoSig",0,989
"CD48",1,10,"NoSig",0,989
"CD52",1,10,"NoSig",0,989
"CD53",1,10,"NoSig",0,989
"CD55",1,10,"NoSig",0,989
"CD58",1,10,"NoSig",0,989
"CD59",1,10,"NoSig",0,989
"CD5L",1,10,"NoSig",0,989
"CD63",1,10,"NoSig",0,989
"CD68",1,10,"NoSig",0,989
"CD69",1,10,"NoSig",0,989
"CD70",1,10,"NoSig",0,989
"CD74",1,10,"NoSig",0,989
"CD79A",1,10,"NoSig",0,989
"CD80",1,10,"NoSig",0,989
"CD81",1,10,"NoSig",0,989
"CD83",1,10,"NoSig",0,989
"CD84",1,10,"NoSig",0,989
"CD86",1,10,"NoSig",0,989
"CD8A",1,10,"NoSig",0,989
"CD8B",1,10,"NoSig",0,989
"CD9",1,10,"NoSig",0,989
"CD93",1,10,"NoSig",0,989
"CDH1",1,10,"NoSig",0,989
"CDH11",1,10,"NoSig",0,989
"CDH19",1,10,"NoSig",0,989
"CDH5",1,10,"NoSig",0,989
"CDKN1A",1,10,"NoSig",0,989
"CDKN3",1,10,"NoSig",0,989
"CEACAM1",1,10,"NoSig",0,989
"CEACAM6",1,10,"NoSig",0,989
"CELSR1",1,10,"NoSig",0,989
"CELSR2",1,10,"NoSig",0,989
"CENPF",1,10,"NoSig",0,989
"CFD",1,10,"NoSig",0,989
"CFLAR",1,10,"NoSig",0,989
"CHEK1",1,10,"NoSig",0,989
"CHEK2",1,10,"NoSig",0,989
"CHI3L1",1,10,"NoSig",0,989
"CIDEA",1,10,"NoSig",0,989
"CIITA",1,10,"NoSig",0,989
"CLCF1",1,10,"NoSig",0,989
"CLDN4",1,10,"NoSig",0,989
"CLEC10A",1,10,"NoSig",0,989
"CLEC12A",1,10,"NoSig",0,989
"CLEC14A",1,10,"NoSig",0,989
"CLEC1A",1,10,"NoSig",0,989
"CLEC2B",1,10,"NoSig",0,989
"CLEC2D",1,10,"NoSig",0,989
"CLEC4A",1,10,"NoSig",0,989
"CLEC4D",1,10,"NoSig",0,989
"CLEC4E",1,10,"NoSig",0,989
"CLEC5A",1,10,"NoSig",0,989
"CLEC7A",1,10,"NoSig",0,989
"CLOCK",1,10,"NoSig",0,989
"CLU",1,10,"NoSig",0,989
"CMKLR1",1,10,"NoSig",0,989
"CNTFR",1,10,"NoSig",0,989
"COL11A1",1,10,"NoSig",0,989
"COL12A1",1,10,"NoSig",0,989
"COL14A1",1,10,"NoSig",0,989
"COL15A1",1,10,"NoSig",0,989
"COL16A1",1,10,"NoSig",0,989
"COL17A1",1,10,"NoSig",0,989
"COL18A1",1,10,"c1",0.589985735634636,989
"COL1A1",1,10,"c6",7.85545050719076,989
"COL1A2",1,10,"c6",2.54271553487686,989
"COL21A1",1,10,"NoSig",0,989
"COL27A1",1,10,"NoSig",0,989
"COL3A1",1,10,"c6",17.5955238965569,989
"COL4A1",1,10,"c6",3.39980459126059,989
"COL4A2",1,10,"c5",2.28037636589945,989
"COL4A5",1,10,"NoSig",0,989
"COL5A1",1,10,"NoSig",0,989
"COL5A2",1,10,"NoSig",0,989
"COL5A3",1,10,"NoSig",0,989
"COL6A1",1,10,"NoSig",0,989
"COL6A2",1,10,"c3",1.39564512153827,989
"COL6A3",1,10,"NoSig",0,989
"COL8A1",1,10,"NoSig",0,989
"COL9A2",1,10,"c2",0.954942172587237,989
"COL9A3",1,10,"NoSig",0,989
"COTL1",1,10,"c3",2.24272825227138,989
"COX4I2",1,10,"NoSig",0,989
"CPA3",1,10,"NoSig",0,989
"CPB1",1,10,"NoSig",0,989
"CRIP1",1,10,"c1",0.14854768289837,989
"CRP",1,10,"c10",9.85008205165352,989
"CRYAB",1,10,"c2",4.36840051245364,989
"CSF1",1,10,"NoSig",0,989
"CSF1R",1,10,"c3",0.939324102012371,989
"CSF2",1,10,"NoSig",0,989
"CSF2RA",1,10,"NoSig",0,989
"CSF2RB",1,10,"NoSig",0,989
"CSF3",1,10,"NoSig",0,989
"CSF3R",1,10,"NoSig",0,989
"CSHL1",1,10,"NoSig",0,989
"CSK",1,10,"NoSig",0,989
"CSPG4",1,10,"NoSig",0,989
"CST7",1,10,"NoSig",0,989
"CSTB",1,10,"NoSig",0,989
"CTLA4",1,10,"NoSig",0,989
"CTNNB1",1,10,"NoSig",0,989
"CTSD",1,10,"NoSig",0,989
"CTSG",1,10,"NoSig",0,989
"CTSW",1,10,"NoSig",0,989
"CUZD1",1,10,"NoSig",0,989
"CX3CL1",1,10,"NoSig",0,989
"CX3CR1",1,10,"NoSig",0,989
"CXCL1",1,10,"NoSig",0,989
"CXCL10",1,10,"NoSig",0,989
"CXCL12",1,10,"NoSig",0,989
