"genes","task_id","curr_size","top_cluster_gr60","glm_coef_gr60","seed_number"
"ABCC11",6,60,"c1",3.90486428020655,589
"ACTA2",6,60,"c4",5.01756288742728,589
"ACTG2",6,60,"c4",2.30673931243152,589
"ADAM9",6,60,"c1",1.6603071157216,589
"ADGRE5",6,60,"c5",0.472725459062546,589
"ADH1B",6,60,"c7",0.536931738253038,589
"ADIPOQ",6,60,"NoSig",0,589
"AGR3",6,60,"c1",0.445240469650338,589
"AIF1",6,60,"c3",2.64729032159767,589
"AKR1C1",6,60,"c1",0.153939660047518,589
"AKR1C3",6,60,"c2",0.084011903546925,589
"ALDH1A3",6,60,"c4",0.379833023843482,589
"ANGPT2",6,60,"c7",0.635823497488009,589
"ANKRD28",6,60,"c1",0.254835883810861,589
"ANKRD29",6,60,"c7",0.680133264617252,589
"ANKRD30A",6,60,"c1",6.75762970779414,589
"APOBEC3A",6,60,"c1",0.0207891027708748,589
"APOBEC3B",6,60,"c1",0.108168796186088,589
"APOC1",6,60,"c3",2.11474595349809,589
"AQP1",6,60,"c7",6.8298102065693,589
"AQP3",6,60,"c1",0.299484517861149,589
"AR",6,60,"c1",1.39533883928782,589
"AVPR1A",6,60,"c7",0.331522128253991,589
"BACE2",6,60,"c1",0.418102847310112,589
"BANK1",6,60,"c6",1.39797487027022,589
"BASP1",6,60,"c2",1.63083758925851,589
"C15orf48",6,60,"c3",0.858541933474723,589
"C1QA",6,60,"c3",0.906808021320739,589
"C1QC",6,60,"c3",1.38751409744903,589
"C2orf42",6,60,"c1",0.103024237014163,589
"C5orf46",6,60,"c4",0.295967952381216,589
"C6orf132",6,60,"c1",0.382795716433508,589
"CAV1",6,60,"c7",2.85474262443974,589
"CAVIN2",6,60,"c7",0.420839759428021,589
"CCDC6",6,60,"c1",1.92728799010653,589
"CCDC80",6,60,"c2",6.5604672071616,589
"CCL5",6,60,"c5",1.25852041272682,589
"CCL8",6,60,"c3",0.228813577508499,589
"CCND1",6,60,"c1",7.96808865442867,589
"CCPG1",6,60,"c2",1.01125196002514,589
"CCR7",6,60,"c5",0.6560335099377,589
"CD14",6,60,"c3",1.07309510675195,589
"CD163",6,60,"c3",1.80572144754523,589
"CD19",6,60,"c6",0.433424492968603,589
"CD247",6,60,"c5",0.630336426228336,589
"CD27",6,60,"c6",0.64735735421542,589
"CD274",6,60,"c5",0.0733316910837135,589
"CD3E",6,60,"c5",2.72762806750057,589
"CD3G",6,60,"c5",0.753510967680184,589
"CD4",6,60,"c3",3.71293330986674,589
"CD68",6,60,"c3",4.04029978749898,589
"CD69",6,60,"c5",0.665109510173887,589
"CD79A",6,60,"c6",0.943812229363095,589
"CD79B",6,60,"c6",0.225340277175051,589
"CD80",6,60,"c3",0.107545312960451,589
"CD83",6,60,"c3",0.825398669549097,589
"CD86",6,60,"c3",0.812438515678013,589
"CD8A",6,60,"c5",1.20858273102065,589
"CD9",6,60,"c1",4.12276115314646,589
"CD93",6,60,"c7",3.56933727706089,589
"CDC42EP1",6,60,"c4",0.244953036126266,589
"CDH1",6,60,"c1",4.31314808895486,589
"CEACAM6",6,60,"c1",3.60071867511713,589
"CEACAM8",6,60,"c1",0.132163498513205,589
"CENPF",6,60,"c1",0.657135397559624,589
"CLEC14A",6,60,"c7",1.86736459031553,589
"CLEC9A",6,60,"c3",0.12497767360563,589
"CLECL1",6,60,"c6",0.170606773299394,589
"CLIC6",6,60,"c4",0.0537228656298593,589
"CPA3",6,60,"c9",2.06485717656926,589
"CRISPLD2",6,60,"c2",1.49877941766343,589
"CTH",6,60,"c1",0.0451264638373859,589
"CTLA4",6,60,"c5",0.438332856216845,589
"CTSG",6,60,"c9",0.788530209118271,589
"CTTN",6,60,"c1",3.66856877347911,589
"CX3CR1",6,60,"c4",0.207645371622898,589
"CXCL12",6,60,"c2",6.18054781065622,589
"CXCL16",6,60,"c3",0.974374942942641,589
"CXCL5",6,60,"c4",0.0370745617056047,589
"CXCR4",6,60,"c5",2.55896159123849,589
"CYTIP",6,60,"c5",0.940672776715998,589
"DAPK3",6,60,"c1",0.148275763544682,589
"DMKN",6,60,"c1",0.183661101481884,589
"DNAAF1",6,60,"c1",0.0309863080564366,589
"DNTTIP1",6,60,"c1",0.350105154112223,589
"DPT",6,60,"c2",0.733968843078453,589
"DSC2",6,60,"c4",1.90729080969518,589
"DSP",6,60,"c4",2.99923724016823,589
"DST",6,60,"c4",7.26324347972681,589
"DUSP2",6,60,"c5",0.207254096561775,589
"DUSP5",6,60,"c1",0.273464984821287,589
"EGFL7",6,60,"c7",0.531336994683453,589
"EGFR",6,60,"c4",0.973725775237471,589
"EIF4EBP1",6,60,"c1",0.343266696518415,589
"ENAH",6,60,"c1",2.12440585372929,589
"EPCAM",6,60,"c1",9.41460321459745,589
"ERBB2",6,60,"c1",20.845275446517,589
"ERN1",6,60,"c2",0.743845000726292,589
"ESM1",6,60,"c1",0.0821012308403655,589
"ESR1",6,60,"c4",0.985724686049863,589
"FAM107B",6,60,"c5",0.958083423200473,589
"FAM49A",6,60,"c2",0.154548323767868,589
"FASN",6,60,"c1",5.82285699165276,589
"FBLN1",6,60,"c2",2.28100680985073,589
"FCER1A",6,60,"c3",0.490572284804876,589
"FCER1G",6,60,"c3",4.37092155748473,589
"FCGR3A",6,60,"c3",0.901194643067555,589
"FGL2",6,60,"c3",2.86327354250302,589
"FLNB",6,60,"c1",1.95652232378465,589
"FOXA1",6,60,"c1",8.37269207311165,589
"FOXC2",6,60,"c4",0.184706099246939,589
"FOXP3",6,60,"c5",0.118085215379081,589
"FSTL3",6,60,"c1",0.178917152465709,589
"GATA3",6,60,"c1",8.01625659390987,589
"GJB2",6,60,"c2",0.845017586789687,589
"GLIPR1",6,60,"c3",1.0541848893528,589
"GNLY",6,60,"c5",0.179537380929212,589
"GPR183",6,60,"c5",0.685525694500521,589
"GZMA",6,60,"c5",0.75016751440138,589
"GZMK",6,60,"c5",0.0677141688267446,589
"HAVCR2",6,60,"c3",1.15398867200732,589
"HMGA1",6,60,"c1",1.44415859898836,589
"HOOK2",6,60,"c1",0.416022068991796,589
"HOXD8",6,60,"c1",0.342365836250523,589
"HOXD9",6,60,"c7",0.657769333684267,589
"HPX",6,60,"c1",0.106894061309992,589
"IGF1",6,60,"c2",1.2257337828261,589
"IGSF6",6,60,"c3",1.78628713796099,589
"IL2RA",6,60,"NoSig",0,589
"IL2RG",6,60,"c5",1.19856124206472,589
"IL3RA",6,60,"c8",0.969591265208208,589
"IL7R",6,60,"c5",3.31981543538284,589
"ITGAM",6,60,"c3",0.486490081439042,589
"ITGAX",6,60,"c3",1.76562462461217,589
"ITM2C",6,60,"c6",3.1337035664833,589
"JUP",6,60,"c1",1.09167054120962,589
"KARS",6,60,"c1",0.452679982772466,589
"KDR",6,60,"c7",1.12482663343068,589
"KIT",6,60,"c4",1.09409186237916,589
"KLF5",6,60,"c1",0.793725621488732,589
"KLRB1",6,60,"c5",0.846685459203859,589
"KLRC1",6,60,"c5",0.169102263379042,589
"KLRD1",6,60,"c5",0.242822698150295,589
"KLRF1",6,60,"c1",0.0376047249563037,589
"KRT14",6,60,"c4",4.54153910695112,589
"KRT23",6,60,"c4",1.23898600990518,589
"KRT5",6,60,"c4",3.39805265067525,589
"KRT6B",6,60,"c4",2.00799671279092,589
"KRT7",6,60,"c1",13.3312377183272,589
"KRT8",6,60,"c1",6.79431481243164,589
"LAG3",6,60,"c5",0.0764391489538795,589
"LARS",6,60,"c1",1.32734160573843,589
"LDHB",6,60,"c5",0.837435963795797,589
"LGALSL",6,60,"c1",0.165629105457662,589
"LILRA4",6,60,"c8",1.66893906967551,589
"LPL",6,60,"c7",0.135786386989312,589
"LPXN",6,60,"c3",0.817867719788401,589
"LRRC15",6,60,"c2",0.803144377812824,589
"LTB",6,60,"c5",0.431856493024948,589
"LUM",6,60,"c2",16.8513438986692,589
"LY86",6,60,"c3",0.239554848216749,589
"LYPD3",6,60,"c1",1.93072830326035,589
"LYZ",6,60,"c3",10.7769645411539,589
"MAP3K8",6,60,"c1",0.172879465276028,589
"MDM2",6,60,"c1",3.18303597083926,589
"MKI67",6,60,"c1",0.374911826917786,589
"MLPH",6,60,"c1",4.80849296927307,589
"MMP1",6,60,"c3",0.607721200150173,589
"MMP12",6,60,"c3",0.799127661706442,589
"MMP2",6,60,"c2",4.84171052065739,589
"MMRN2",6,60,"c7",1.46330860038232,589
"MNDA",6,60,"c3",0.97853801114806,589
"MRC1",6,60,"c3",1.43097934172426,589
"MS4A1",6,60,"c6",2.26491006261617,589
"MUC6",6,60,"c1",0.333420253307115,589
"MYBPC1",6,60,"c1",0.461425009897431,589
"MYH11",6,60,"c4",2.3785622677313,589
"MYLK",6,60,"c4",5.84478624007232,589
"MYO5B",6,60,"c1",1.80728244478895,589
"MZB1",6,60,"c6",1.68703797592679,589
"NARS",6,60,"c1",3.05433375087959,589
"NCAM1",6,60,"c4",0.0244199621835635,589
"NDUFA4L2",6,60,"c1",0.0262808249522172,589
"NKG7",6,60,"c5",0.271153116998757,589
"NOSTRIN",6,60,"c7",0.78854837536194,589
"OCIAD2",6,60,"c1",0.485334410114,589
