"genes","task_id","curr_size","top_cluster_gr80","glm_coef_gr80","seed_number"
"ABCC11",8,80,"c1",3.78725164589616,589
"ACTA2",8,80,"c4",5.07256157325321,589
"ACTG2",8,80,"c4",2.30908620907185,589
"ADAM9",8,80,"c1",1.63156119566557,589
"ADGRE5",8,80,"c5",0.481120862357844,589
"ADH1B",8,80,"c2",0.275863922119308,589
"ADIPOQ",8,80,"NoSig",0,589
"AGR3",8,80,"c1",0.43618999515242,589
"AIF1",8,80,"c3",2.50108644653337,589
"AKR1C1",8,80,"c1",0.145865280011089,589
"AKR1C3",8,80,"c2",0.0812498240550292,589
"ALDH1A3",8,80,"c4",0.376052716987656,589
"ANGPT2",8,80,"c7",0.618263470581094,589
"ANKRD28",8,80,"c1",0.251770282397288,589
"ANKRD29",8,80,"c7",0.64184669022848,589
"ANKRD30A",8,80,"c1",6.77942118741702,589
"APOBEC3A",8,80,"c1",0.0201322651366955,589
"APOBEC3B",8,80,"c1",0.10229857269058,589
"APOC1",8,80,"c3",1.88627958860241,589
"AQP1",8,80,"c7",6.58038473225614,589
"AQP3",8,80,"c1",0.276635371344722,589
"AR",8,80,"c1",1.39248282988908,589
"AVPR1A",8,80,"c7",0.315654101740864,589
"BACE2",8,80,"c1",0.403608431666852,589
"BANK1",8,80,"c6",1.37664984034518,589
"BASP1",8,80,"c2",1.50788744881947,589
"C15orf48",8,80,"c3",0.744320272771493,589
"C1QA",8,80,"c3",0.899561029105443,589
"C1QC",8,80,"c3",1.3625258468162,589
"C2orf42",8,80,"c1",0.102394860124306,589
"C5orf46",8,80,"c4",0.285683757261259,589
"C6orf132",8,80,"c1",0.378364657330041,589
"CAV1",8,80,"c7",2.75145489983853,589
"CAVIN2",8,80,"c7",0.401147608472486,589
"CCDC6",8,80,"c1",1.91517361701959,589
"CCDC80",8,80,"c2",6.27317053896728,589
"CCL5",8,80,"c5",1.24265021431133,589
"CCL8",8,80,"c3",0.220717820806164,589
"CCND1",8,80,"c1",7.85476036095087,589
"CCPG1",8,80,"c2",0.962399383590822,589
