"genes","task_id","curr_size","top_cluster_gr80","glm_coef_gr80","seed_number"
"AATK",8,80,"NoSig",0,989
"ABL1",8,80,"NoSig",0,989
"ABL2",8,80,"NoSig",0,989
"ACACB",8,80,"NoSig",0,989
"ACE",8,80,"NoSig",0,989
"ACKR1",8,80,"NoSig",0,989
"ACKR3",8,80,"NoSig",0,989
"ACKR4",8,80,"NoSig",0,989
"ACP5",8,80,"NoSig",0,989
"ACTA2",8,80,"c6",5.35917892739499,989
"ACTG2",8,80,"NoSig",0,989
"ACVR1",8,80,"NoSig",0,989
"ACVR1B",8,80,"NoSig",0,989
"ACVR2A",8,80,"NoSig",0,989
"ACVRL1",8,80,"NoSig",0,989
"ADGRA2",8,80,"NoSig",0,989
"ADGRA3",8,80,"NoSig",0,989
"ADGRE2",8,80,"NoSig",0,989
"ADGRE5",8,80,"NoSig",0,989
"ADGRF1",8,80,"NoSig",0,989
"ADGRF3",8,80,"NoSig",0,989
"ADGRF5",8,80,"NoSig",0,989
"ADGRG1",8,80,"NoSig",0,989
"ADGRG3",8,80,"NoSig",0,989
"ADGRG5",8,80,"NoSig",0,989
"ADGRG6",8,80,"NoSig",0,989
"ADGRL1",8,80,"NoSig",0,989
"ADGRL2",8,80,"NoSig",0,989
"ADGRL4",8,80,"NoSig",0,989
"ADGRV1",8,80,"NoSig",0,989
"ADIPOQ",8,80,"NoSig",0,989
"ADIRF",8,80,"NoSig",0,989
"ADM2",8,80,"NoSig",0,989
"AGR2",8,80,"NoSig",0,989
"AHI1",8,80,"NoSig",0,989
"AHR",8,80,"NoSig",0,989
"AIF1",8,80,"c3",0.678381216895391,989
"AKT1",8,80,"NoSig",0,989
"ALCAM",8,80,"NoSig",0,989
"ALOX5AP",8,80,"NoSig",0,989
"ANGPT1",8,80,"NoSig",0,989
"ANGPT2",8,80,"NoSig",0,989
"ANGPTL1",8,80,"NoSig",0,989
"ANKRD1",8,80,"NoSig",0,989
"ANXA1",8,80,"c3",1.06002591279253,989
"ANXA2",8,80,"NoSig",0,989
"ANXA4",8,80,"NoSig",0,989
"APOA1",8,80,"NoSig",0,989
"APOC1",8,80,"NoSig",0,989
"APOD",8,80,"NoSig",0,989
"APOE",8,80,"NoSig",0,989
"APP",8,80,"NoSig",0,989
"AQP3",8,80,"NoSig",0,989
"AR",8,80,"NoSig",0,989
