"genes","task_id","curr_size","top_cluster_gr10","glm_coef_gr10","seed_number"
"ABCC11",1,10,"c1",5.03194995660852,589
"ACTA2",1,10,"c4",5.01987460902859,589
"ACTG2",1,10,"c4",3.01295336248507,589
"ADAM9",1,10,"c1",1.74815365916384,589
"ADGRE5",1,10,"c2",0.454857913254153,589
"ADH1B",1,10,"c7",2.29173803577176,589
"ADIPOQ",1,10,"NoSig",0,589
"AGR3",1,10,"c4",1.62938661343389,589
"AIF1",1,10,"c3",3.51018109336195,589
"AKR1C1",1,10,"c1",0.328336093414445,589
"AKR1C3",1,10,"c2",0.119799678289438,589
"ALDH1A3",1,10,"c2",0.537504307498721,589
"ANGPT2",1,10,"c7",0.655067045873405,589
"ANKRD28",1,10,"c1",0.212624778804451,589
"ANKRD29",1,10,"c7",0.819304982678822,589
"ANKRD30A",1,10,"c1",4.77400711229066,589
"APOBEC3A",1,10,"c3",0.141974689813351,589
"APOBEC3B",1,10,"c1",0.136462003683254,589
"APOC1",1,10,"c3",3.32461072194097,589
"AQP1",1,10,"c7",8.60164283792363,589
"AQP3",1,10,"c1",0.454135828014629,589
"AR",1,10,"c1",1.09922618914885,589
"AVPR1A",1,10,"c7",0.453827893808974,589
"BACE2",1,10,"c1",0.390824237865079,589
"BANK1",1,10,"c6",2.13119776797796,589
"BASP1",1,10,"c2",2.9924357016532,589
"C15orf48",1,10,"c3",1.17434750955178,589
"C1QA",1,10,"c2",0.432719092028141,589
"C1QC",1,10,"c3",1.17574881800284,589
"C2orf42",1,10,"c1",0.0842287635281538,589
"C5orf46",1,10,"c4",0.24504619889092,589
"C6orf132",1,10,"c1",0.328520834491759,589
"CAV1",1,10,"c7",3.39029087213434,589
"CAVIN2",1,10,"c7",0.723691415372905,589
"CCDC6",1,10,"c1",1.67374772649122,589
"CCDC80",1,10,"c2",8.2301576059214,589
"CCL5",1,10,"c5",1.03658423874322,589
"CCL8",1,10,"c2",0.147000874413037,589
"CCND1",1,10,"c1",6.01465192039863,589
"CCPG1",1,10,"c2",1.26274084130859,589
"CCR7",1,10,"c5",0.682052717308379,589
"CD14",1,10,"c2",0.444222200551347,589
"CD163",1,10,"c3",1.9126379163027,589
"CD19",1,10,"c6",0.535705196735237,589
"CD247",1,10,"c5",0.577113601475308,589
"CD27",1,10,"c2",0.230857858770693,589
"CD274",1,10,"c3",0.149906348793977,589
"CD3E",1,10,"c5",2.64816141464077,589
"CD3G",1,10,"c5",0.695735138136321,589
"CD4",1,10,"c3",5.22918698972974,589
"CD68",1,10,"c3",5.70098227154153,589
"CD69",1,10,"c5",0.674270015988747,589
"CD79A",1,10,"c6",0.994931094407128,589
"CD79B",1,10,"c6",0.293107905114304,589
"CD80",1,10,"c3",0.204460237380932,589
"CD83",1,10,"c3",1.22568578115229,589
"CD86",1,10,"c3",1.06192961208354,589
"CD8A",1,10,"c5",1.03793598992381,589
"CD9",1,10,"c1",3.75709498223569,589
"CD93",1,10,"c7",3.79469593057731,589
"CDC42EP1",1,10,"c4",0.369880726273111,589
"CDH1",1,10,"c1",4.23425071882709,589
"CEACAM6",1,10,"c4",17.6350283774401,589
"CEACAM8",1,10,"c4",0.439775436141374,589
"CENPF",1,10,"c1",0.61170720716996,589
"CLEC14A",1,10,"c7",1.98107953922852,589
"CLEC9A",1,10,"c2",0.0473109463023137,589
"CLECL1",1,10,"c6",0.272931701448508,589
"CLIC6",1,10,"c2",0.0335955055822592,589
"CPA3",1,10,"c2",0.198125750041852,589
"CRISPLD2",1,10,"c2",2.04006420028277,589
"CTH",1,10,"c1",0.0600948165478986,589
"CTLA4",1,10,"c3",0.633893896496112,589
"CTSG",1,10,"c2",0.0521487566716412,589
"CTTN",1,10,"c1",3.04165785601435,589
"CX3CR1",1,10,"c4",0.301964675936716,589
"CXCL12",1,10,"c2",6.97327152534033,589
"CXCL16",1,10,"c3",1.30308819577508,589
"CXCL5",1,10,"c2",0.0380530615671028,589
"CXCR4",1,10,"c5",3.00225275232118,589
"CYTIP",1,10,"c2",0.720054333496619,589
"DAPK3",1,10,"c1",0.139406113800983,589
"DMKN",1,10,"c1",0.151887267670708,589
"DNAAF1",1,10,"c1",0.0276774478328785,589
"DNTTIP1",1,10,"c1",0.306314136781716,589
"DPT",1,10,"c2",0.531509027833913,589
"DSC2",1,10,"c4",1.91509550776041,589
"DSP",1,10,"c1",1.95486177424414,589
"DST",1,10,"c4",6.32696976890577,589
"DUSP2",1,10,"c3",0.462688286052624,589
"DUSP5",1,10,"c2",0.433116639019124,589
"EGFL7",1,10,"c7",0.678361025572383,589
"EGFR",1,10,"c2",0.971756720135326,589
"EIF4EBP1",1,10,"c1",0.4029633542258,589
"ENAH",1,10,"c1",2.08559917007057,589
"EPCAM",1,10,"c1",8.27710049438964,589
"ERBB2",1,10,"c1",22.6748687269607,589
"ERN1",1,10,"c2",0.860494015507296,589
"ESM1",1,10,"c1",0.144802539947895,589
"ESR1",1,10,"c4",2.1867575227811,589
"FAM107B",1,10,"c1",0.917159217206667,589
"FAM49A",1,10,"c2",0.185951838842926,589
"FASN",1,10,"c1",5.62099285292826,589
"FBLN1",1,10,"c2",2.45674536775203,589
"FCER1A",1,10,"c3",0.761233901292885,589
"FCER1G",1,10,"c3",6.20542699777634,589
"FCGR3A",1,10,"c3",0.818095583257676,589
"FGL2",1,10,"c3",3.46689021345052,589
"FLNB",1,10,"c4",3.73153349183771,589
"FOXA1",1,10,"c1",7.16630251710865,589
"FOXC2",1,10,"c4",0.18057068060012,589
"FOXP3",1,10,"c3",0.326509721321916,589
"FSTL3",1,10,"c2",0.546748053099339,589
"GATA3",1,10,"NoSig",0,589
"GJB2",1,10,"c2",1.3722620872013,589
"GLIPR1",1,10,"c2",0.820081252244304,589
"GNLY",1,10,"c8",0.865878970967385,589
"GPR183",1,10,"c3",1.98682644362659,589
"GZMA",1,10,"c5",0.586670566668129,589
"GZMK",1,10,"c8",0.417997868608878,589
"HAVCR2",1,10,"c3",1.63479772910783,589
"HMGA1",1,10,"c1",1.74925129017663,589
"HOOK2",1,10,"c4",0.888882093199221,589
"HOXD8",1,10,"c1",0.260744271295145,589
"HOXD9",1,10,"c7",0.599425480767076,589
"HPX",1,10,"c4",0.185013502022183,589
"IGF1",1,10,"c2",1.1569480045797,589
"IGSF6",1,10,"c3",2.59826973346119,589
"IL2RA",1,10,"NoSig",0,589
"IL2RG",1,10,"c5",0.870483747475681,589
"IL3RA",1,10,"c7",0.597435892263888,589
"IL7R",1,10,"c5",3.19099169715449,589
"ITGAM",1,10,"c3",0.772337704234107,589
"ITGAX",1,10,"c3",2.67009890766712,589
"ITM2C",1,10,"c2",1.75818884533861,589
"JUP",1,10,"c1",1.2145313889963,589
"KARS",1,10,"c1",0.352945955494997,589
"KDR",1,10,"c7",1.57305680194579,589
"KIT",1,10,"c4",0.963974382982757,589
"KLF5",1,10,"c1",0.546583667536167,589
"KLRB1",1,10,"c5",0.744994498107398,589
"KLRC1",1,10,"c5",0.153030032881457,589
"KLRD1",1,10,"c2",0.245042786284471,589
"KLRF1",1,10,"c4",0.145755642915941,589
"KRT14",1,10,"c4",4.80893628271183,589
"KRT23",1,10,"c4",1.74808567310375,589
"KRT5",1,10,"c4",3.22828007094325,589
"KRT6B",1,10,"c4",2.17387715723138,589
"KRT7",1,10,"c1",12.1969813554328,589
"KRT8",1,10,"c1",6.03492872227668,589
"LAG3",1,10,"NoSig",0,589
"LARS",1,10,"c1",0.987790587426273,589
"LDHB",1,10,"c2",1.08335545959662,589
"LGALSL",1,10,"c1",0.159076085720228,589
"LILRA4",1,10,"c8",1.83955954108442,589
"LPL",1,10,"c7",0.608106151402401,589
"LPXN",1,10,"c3",1.52718996552828,589
"LRRC15",1,10,"c2",1.11632973089313,589
"LTB",1,10,"c5",0.366168994605709,589
"LUM",1,10,"c2",20.3876478960792,589
"LY86",1,10,"c3",0.325846082622234,589
"LYPD3",1,10,"c1",1.78150289938745,589
"LYZ",1,10,"c3",15.9007640058286,589
"MAP3K8",1,10,"c2",0.390088960766411,589
"MDM2",1,10,"c1",3.02219485431773,589
"MKI67",1,10,"c1",0.34362102879662,589
"MLPH",1,10,"c1",3.62118299548726,589
"MMP1",1,10,"c3",2.50154977416426,589
"MMP12",1,10,"c3",1.03831325180741,589
"MMP2",1,10,"c2",6.50692748273211,589
"MMRN2",1,10,"c7",1.72578858244819,589
"MNDA",1,10,"c3",1.49036804332301,589
"MRC1",1,10,"c7",1.72658371264966,589
"MS4A1",1,10,"c6",2.98821687750394,589
"MUC6",1,10,"c1",0.530193883055566,589
"MYBPC1",1,10,"c1",0.984060450389984,589
"MYH11",1,10,"c4",2.71363805666206,589
"MYLK",1,10,"c4",5.92606370777823,589
"MYO5B",1,10,"c1",1.47379389289459,589
"MZB1",1,10,"c4",1.66959283351875,589
"NARS",1,10,"c1",2.50383951229404,589
"NCAM1",1,10,"c4",0.023285084885827,589
"NDUFA4L2",1,10,"c1",0.053411855239764,589
"NKG7",1,10,"c8",1.09537231931198,589
"NOSTRIN",1,10,"c7",0.684971714522056,589
"OCIAD2",1,10,"c1",0.415647994364531,589
"OPRPN",1,10,"c4",0.787947084207146,589
"OXTR",1,10,"c4",0.441183738926635,589
"PCLAF",1,10,"c1",0.706779724670774,589
"PDCD1",1,10,"c5",0.0132103185251018,589
"PDCD1LG2",1,10,"c3",0.302556132849217,589
"PDE4A",1,10,"c2",0.379660800439364,589
"PDGFRA",1,10,"c2",2.53461542665026,589
"PDGFRB",1,10,"c2",3.24075709935302,589
"PDK4",1,10,"c2",0.969849075942525,589
"PECAM1",1,10,"c7",5.90499429745054,589
"PELI1",1,10,"c1",0.247375450550783,589
"PGR",1,10,"c4",0.335458293127124,589
"PIGR",1,10,"c4",0.720014786161078,589
"PIM1",1,10,"c2",0.573474164537078,589
"PLD4",1,10,"c8",0.9703012226099,589
"POSTN",1,10,"c2",20.5646114933662,589
"PPARG",1,10,"c7",0.709205342040799,589
"PRDM1",1,10,"c2",1.08713642763523,589
"PRF1",1,10,"c5",0.13545953272797,589
"PTGDS",1,10,"c8",15.8437185427596,589
"PTN",1,10,"c4",4.42473817776225,589
"PTPRC",1,10,"c5",2.72975537438471,589
"PTRHD1",1,10,"c1",0.361969350027693,589
"QARS",1,10,"c1",0.938752304277561,589
"RAB30",1,10,"c2",0.422957551685355,589
"RAMP2",1,10,"c7",1.73564213196714,589
"RAPGEF3",1,10,"c7",0.959928908288332,589
"RHOH",1,10,"c1",0.621966087292028,589
"RORC",1,10,"c1",0.147402026833881,589
"RTKN2",1,10,"c4",0.685743137380923,589
"RUNX1",1,10,"c2",3.36177591504856,589
"S100A14",1,10,"c1",2.24174632924725,589
"S100A4",1,10,"c2",1.45367499546827,589
"S100A8",1,10,"c3",2.1427067866311,589
"SCD",1,10,"c1",12.1585680941441,589
