"genes","task_id","curr_size","top_cluster_gr90","glm_coef_gr90","seed_number"
"AATK",9,90,"NoSig",0,989
"ABL1",9,90,"NoSig",0,989
"ABL2",9,90,"NoSig",0,989
"ACACB",9,90,"NoSig",0,989
"ACE",9,90,"NoSig",0,989
"ACKR1",9,90,"NoSig",0,989
"ACKR3",9,90,"NoSig",0,989
"ACKR4",9,90,"NoSig",0,989
"ACP5",9,90,"NoSig",0,989
"ACTA2",9,90,"c6",5.28919192756611,989
"ACTG2",9,90,"NoSig",0,989
"ACVR1",9,90,"NoSig",0,989
"ACVR1B",9,90,"NoSig",0,989
"ACVR2A",9,90,"NoSig",0,989
"ACVRL1",9,90,"NoSig",0,989
"ADGRA2",9,90,"NoSig",0,989
"ADGRA3",9,90,"NoSig",0,989
"ADGRE2",9,90,"NoSig",0,989
"ADGRE5",9,90,"NoSig",0,989
"ADGRF1",9,90,"NoSig",0,989
"ADGRF3",9,90,"NoSig",0,989
"ADGRF5",9,90,"NoSig",0,989
"ADGRG1",9,90,"NoSig",0,989
"ADGRG3",9,90,"NoSig",0,989
"ADGRG5",9,90,"NoSig",0,989
"ADGRG6",9,90,"NoSig",0,989
"ADGRL1",9,90,"NoSig",0,989
"ADGRL2",9,90,"NoSig",0,989
"ADGRL4",9,90,"NoSig",0,989
"ADGRV1",9,90,"NoSig",0,989
"ADIPOQ",9,90,"NoSig",0,989
"ADIRF",9,90,"NoSig",0,989
"ADM2",9,90,"NoSig",0,989
"AGR2",9,90,"NoSig",0,989
"AHI1",9,90,"NoSig",0,989
"AHR",9,90,"NoSig",0,989
"AIF1",9,90,"c3",0.666860679151586,989
"AKT1",9,90,"NoSig",0,989
"ALCAM",9,90,"NoSig",0,989
"ALOX5AP",9,90,"NoSig",0,989
"ANGPT1",9,90,"NoSig",0,989
"ANGPT2",9,90,"NoSig",0,989
"ANGPTL1",9,90,"NoSig",0,989
"ANKRD1",9,90,"NoSig",0,989
"ANXA1",9,90,"c3",0.943436201902013,989
"ANXA2",9,90,"NoSig",0,989
"ANXA4",9,90,"NoSig",0,989
"APOA1",9,90,"NoSig",0,989
"APOC1",9,90,"NoSig",0,989
"APOD",9,90,"NoSig",0,989
"APOE",9,90,"NoSig",0,989
"APP",9,90,"NoSig",0,989
"AQP3",9,90,"NoSig",0,989
"AR",9,90,"NoSig",0,989
"AREG",9,90,"NoSig",0,989
"ARF1",9,90,"NoSig",0,989
"ARG1",9,90,"c10",0.451397715543797,989
"ARHGDIB",9,90,"c3",1.19537334876296,989
"ARID5B",9,90,"NoSig",0,989
"ATF3",9,90,"NoSig",0,989
"ATG10",9,90,"NoSig",0,989
"ATG12",9,90,"NoSig",0,989
"ATG5",9,90,"NoSig",0,989
"ATM",9,90,"NoSig",0,989
"ATP5F1B",9,90,"NoSig",0,989
"ATP5F1E",9,90,"NoSig",0,989
"ATR",9,90,"NoSig",0,989
"AXL",9,90,"NoSig",0,989
"AZGP1",9,90,"c10",3.07394768597437,989
"AZU1",9,90,"NoSig",0,989
"B2M",9,90,"NoSig",0,989
"B3GNT7",9,90,"NoSig",0,989
"BAG3",9,90,"NoSig",0,989
"BASP1",9,90,"c3",0.50765143506973,989
"BAX",9,90,"NoSig",0,989
"BBLN",9,90,"NoSig",0,989
"BCL2",9,90,"NoSig",0,989
"BCL2L1",9,90,"NoSig",0,989
"BECN1",9,90,"NoSig",0,989
"BEST1",9,90,"NoSig",0,989
"BGN",9,90,"c6",5.38243335492855,989
"BID",9,90,"NoSig",0,989
"BIRC3",9,90,"c2",0.739347634440399,989
"BIRC5",9,90,"NoSig",0,989
"BMP1",9,90,"NoSig",0,989
"BMP2",9,90,"NoSig",0,989
"BMP3",9,90,"NoSig",0,989
"BMP4",9,90,"NoSig",0,989
"BMP5",9,90,"NoSig",0,989
"BMP7",9,90,"NoSig",0,989
"BMPR1A",9,90,"NoSig",0,989
"BMPR2",9,90,"NoSig",0,989
"BRAF",9,90,"NoSig",0,989
"BRCA1",9,90,"NoSig",0,989
"BST1",9,90,"NoSig",0,989
"BST2",9,90,"NoSig",0,989
"BTF3",9,90,"NoSig",0,989
"BTG1",9,90,"NoSig",0,989
"BTK",9,90,"NoSig",0,989
"C11orf96",9,90,"c6",2.33340226018098,989
"C1QA",9,90,"c3",2.25164153049453,989
"C1QB",9,90,"c3",3.20741962901524,989
"C1QC",9,90,"c3",3.02860023154605,989
"C5AR2",9,90,"NoSig",0,989
"CACNA1C",9,90,"NoSig",0,989
