"genes","task_id","curr_size","top_cluster_gr60","glm_coef_gr60","seed_number"
"AATK",6,60,"NoSig",0,989
"ABL1",6,60,"NoSig",0,989
"ABL2",6,60,"NoSig",0,989
"ACACB",6,60,"NoSig",0,989
"ACE",6,60,"NoSig",0,989
"ACKR1",6,60,"NoSig",0,989
"ACKR3",6,60,"NoSig",0,989
"ACKR4",6,60,"NoSig",0,989
"ACP5",6,60,"NoSig",0,989
"ACTA2",6,60,"c6",5.28071153665797,989
"ACTG2",6,60,"NoSig",0,989
"ACVR1",6,60,"NoSig",0,989
"ACVR1B",6,60,"NoSig",0,989
"ACVR2A",6,60,"NoSig",0,989
"ACVRL1",6,60,"NoSig",0,989
"ADGRA2",6,60,"NoSig",0,989
"ADGRA3",6,60,"NoSig",0,989
"ADGRE2",6,60,"NoSig",0,989
"ADGRE5",6,60,"NoSig",0,989
"ADGRF1",6,60,"NoSig",0,989
"ADGRF3",6,60,"NoSig",0,989
"ADGRF5",6,60,"NoSig",0,989
"ADGRG1",6,60,"NoSig",0,989
"ADGRG3",6,60,"NoSig",0,989
"ADGRG5",6,60,"NoSig",0,989
"ADGRG6",6,60,"NoSig",0,989
"ADGRL1",6,60,"NoSig",0,989
"ADGRL2",6,60,"NoSig",0,989
"ADGRL4",6,60,"NoSig",0,989
"ADGRV1",6,60,"NoSig",0,989
"ADIPOQ",6,60,"NoSig",0,989
"ADIRF",6,60,"NoSig",0,989
"ADM2",6,60,"NoSig",0,989
"AGR2",6,60,"NoSig",0,989
"AHI1",6,60,"NoSig",0,989
"AHR",6,60,"NoSig",0,989
"AIF1",6,60,"c3",0.70168279361478,989
"AKT1",6,60,"NoSig",0,989
"ALCAM",6,60,"NoSig",0,989
"ALOX5AP",6,60,"NoSig",0,989
"ANGPT1",6,60,"NoSig",0,989
"ANGPT2",6,60,"NoSig",0,989
"ANGPTL1",6,60,"NoSig",0,989
"ANKRD1",6,60,"NoSig",0,989
"ANXA1",6,60,"c3",1.15862644150769,989
"ANXA2",6,60,"NoSig",0,989
"ANXA4",6,60,"NoSig",0,989
"APOA1",6,60,"NoSig",0,989
"APOC1",6,60,"NoSig",0,989
"APOD",6,60,"NoSig",0,989
"APOE",6,60,"NoSig",0,989
"APP",6,60,"NoSig",0,989
"AQP3",6,60,"NoSig",0,989
"AR",6,60,"NoSig",0,989
"AREG",6,60,"NoSig",0,989
"ARF1",6,60,"NoSig",0,989
"ARG1",6,60,"c10",0.412696295761962,989
"ARHGDIB",6,60,"c3",1.21409570643532,989
"ARID5B",6,60,"NoSig",0,989
"ATF3",6,60,"NoSig",0,989
"ATG10",6,60,"NoSig",0,989
"ATG12",6,60,"NoSig",0,989
"ATG5",6,60,"NoSig",0,989
"ATM",6,60,"NoSig",0,989
"ATP5F1B",6,60,"NoSig",0,989
"ATP5F1E",6,60,"NoSig",0,989
"ATR",6,60,"NoSig",0,989
"AXL",6,60,"NoSig",0,989
"AZGP1",6,60,"c10",3.02502940272219,989
"AZU1",6,60,"NoSig",0,989
"B2M",6,60,"NoSig",0,989
"B3GNT7",6,60,"NoSig",0,989
"BAG3",6,60,"NoSig",0,989
"BASP1",6,60,"c3",0.483428965727281,989
"BAX",6,60,"NoSig",0,989
"BBLN",6,60,"NoSig",0,989
"BCL2",6,60,"NoSig",0,989
"BCL2L1",6,60,"NoSig",0,989
"BECN1",6,60,"NoSig",0,989
