"genes","task_id","curr_size","top_cluster_gr50","glm_coef_gr50","seed_number"
"AATK",5,50,"NoSig",0,989
"ABL1",5,50,"NoSig",0,989
"ABL2",5,50,"NoSig",0,989
"ACACB",5,50,"NoSig",0,989
"ACE",5,50,"NoSig",0,989
"ACKR1",5,50,"NoSig",0,989
"ACKR3",5,50,"NoSig",0,989
"ACKR4",5,50,"NoSig",0,989
"ACP5",5,50,"NoSig",0,989
"ACTA2",5,50,"c6",5.06011936020135,989
"ACTG2",5,50,"NoSig",0,989
"ACVR1",5,50,"NoSig",0,989
"ACVR1B",5,50,"NoSig",0,989
"ACVR2A",5,50,"NoSig",0,989
"ACVRL1",5,50,"NoSig",0,989
"ADGRA2",5,50,"NoSig",0,989
"ADGRA3",5,50,"NoSig",0,989
"ADGRE2",5,50,"NoSig",0,989
"ADGRE5",5,50,"NoSig",0,989
"ADGRF1",5,50,"NoSig",0,989
"ADGRF3",5,50,"NoSig",0,989
"ADGRF5",5,50,"NoSig",0,989
"ADGRG1",5,50,"NoSig",0,989
"ADGRG3",5,50,"NoSig",0,989
"ADGRG5",5,50,"NoSig",0,989
"ADGRG6",5,50,"NoSig",0,989
"ADGRL1",5,50,"NoSig",0,989
"ADGRL2",5,50,"NoSig",0,989
"ADGRL4",5,50,"NoSig",0,989
"ADGRV1",5,50,"NoSig",0,989
"ADIPOQ",5,50,"NoSig",0,989
"ADIRF",5,50,"NoSig",0,989
"ADM2",5,50,"NoSig",0,989
"AGR2",5,50,"NoSig",0,989
"AHI1",5,50,"NoSig",0,989
"AHR",5,50,"NoSig",0,989
"AIF1",5,50,"c3",0.739302002091589,989
"AKT1",5,50,"NoSig",0,989
"ALCAM",5,50,"NoSig",0,989
"ALOX5AP",5,50,"NoSig",0,989
"ANGPT1",5,50,"NoSig",0,989
"ANGPT2",5,50,"NoSig",0,989
"ANGPTL1",5,50,"NoSig",0,989
"ANKRD1",5,50,"NoSig",0,989
"ANXA1",5,50,"c3",1.19992961003276,989
"ANXA2",5,50,"NoSig",0,989
"ANXA4",5,50,"NoSig",0,989
"APOA1",5,50,"NoSig",0,989
"APOC1",5,50,"NoSig",0,989
"APOD",5,50,"NoSig",0,989
"APOE",5,50,"NoSig",0,989
"APP",5,50,"NoSig",0,989
"AQP3",5,50,"NoSig",0,989
"AR",5,50,"NoSig",0,989
"AREG",5,50,"NoSig",0,989
"ARF1",5,50,"NoSig",0,989
"ARG1",5,50,"c10",0.435664079998791,989
"ARHGDIB",5,50,"c3",1.28562259241738,989
"ARID5B",5,50,"NoSig",0,989
