"genes","task_id","curr_size","top_cluster_gr30","glm_coef_gr30","seed_number"
"ABCC11",3,30,"c1",4.25066945709907,589
"ACTA2",3,30,"c4",4.83820145113546,589
"ACTG2",3,30,"c1",1.26259028102152,589
"ADAM9",3,30,"c1",1.68691124852316,589
"ADGRE5",3,30,"c5",0.471617079736221,589
"ADH1B",3,30,"c7",1.0485821696185,589
"ADIPOQ",3,30,"NoSig",0,589
"AGR3",3,30,"c1",0.459951824021117,589
"AIF1",3,30,"c3",2.90160378679814,589
"AKR1C1",3,30,"c1",0.178005298752113,589
"AKR1C3",3,30,"c2",0.0900399874984838,589
"ALDH1A3",3,30,"c1",0.198667999060935,589
"ANGPT2",3,30,"c7",0.657303075881678,589
"ANKRD28",3,30,"c1",0.245544498971104,589
"ANKRD29",3,30,"c7",0.731927508959079,589
"ANKRD30A",3,30,"c1",6.55379056489649,589
"APOBEC3A",3,30,"c1",0.0219057484680742,589
"APOBEC3B",3,30,"c1",0.116886812315785,589
"APOC1",3,30,"c3",2.69874908280605,589
"AQP1",3,30,"c7",7.82019983009665,589
"AQP3",3,30,"c1",0.357083710277993,589
"AR",3,30,"c1",1.39113764198223,589
"AVPR1A",3,30,"c7",0.326857781438269,589
"BACE2",3,30,"c1",0.439975109309109,589
"BANK1",3,30,"c6",1.71765370301526,589
"BASP1",3,30,"c2",1.96719588105692,589
"C15orf48",3,30,"c3",1.0313185356965,589
"C1QA",3,30,"c3",0.932728554414483,589
"C1QC",3,30,"c3",1.40373805019594,589
"C2orf42",3,30,"c1",0.104124379244494,589
"C5orf46",3,30,"c4",0.281127384326356,589
"C6orf132",3,30,"c1",0.380818430174691,589
"CAV1",3,30,"c7",3.01893360088284,589
"CAVIN2",3,30,"c7",0.473126838341017,589
"CCDC6",3,30,"c1",1.9219392622495,589
"CCDC80",3,30,"c2",7.2519322117721,589
"CCL5",3,30,"c5",1.24502251477541,589
"CCL8",3,30,"c2",0.136073996024568,589
"CCND1",3,30,"c1",8.01819297780239,589
"CCPG1",3,30,"c1",0.491924914898292,589
"CCR7",3,30,"c5",0.70801050711605,589
"CD14",3,30,"c3",0.989010842407038,589
"CD163",3,30,"c3",1.86178338981296,589
"CD19",3,30,"c6",0.488919012300193,589
"CD247",3,30,"c5",0.64312900861915,589
"CD27",3,30,"c6",0.671205084635495,589
"CD274",3,30,"c5",0.0835494777537226,589
"CD3E",3,30,"c5",2.75118307600899,589
"CD3G",3,30,"c5",0.749765569360085,589
"CD4",3,30,"c3",4.11477009757325,589
"CD68",3,30,"c3",4.83758518481119,589
"CD69",3,30,"c5",0.754354130917625,589
"CD79A",3,30,"c6",0.990452591844063,589
"CD79B",3,30,"c6",0.249235679848267,589
"CD80",3,30,"c3",0.126011273623641,589
"CD83",3,30,"c3",1.00708635391715,589
"CD86",3,30,"c3",0.915206553724306,589
"CD8A",3,30,"c5",1.29557896610509,589
"CD9",3,30,"c1",4.09741569988852,589
"CD93",3,30,"c7",3.73594388013897,589
"CDC42EP1",3,30,"c4",0.256826878705224,589
"CDH1",3,30,"c1",4.46177409376548,589
"CEACAM6",3,30,"c4",7.96207674997085,589
"CEACAM8",3,30,"c1",0.119193932245631,589
"CENPF",3,30,"c1",0.663964773932264,589
"CLEC14A",3,30,"c7",1.90268586897421,589
"CLEC9A",3,30,"c3",0.119660778782082,589
"CLECL1",3,30,"c6",0.210348732784777,589
"CLIC6",3,30,"c4",0.0511281299436252,589
"CPA3",3,30,"c9",1.90733831085905,589
"CRISPLD2",3,30,"c2",1.70000883093866,589
"CTH",3,30,"c1",0.0519841797323961,589
"CTLA4",3,30,"c5",0.401584591693682,589
"CTSG",3,30,"c9",0.683309353905825,589
"CTTN",3,30,"c1",3.65719797417815,589
"CX3CR1",3,30,"c4",0.219535336866508,589
"CXCL12",3,30,"c2",6.48907591550193,589
"CXCL16",3,30,"c1",0.244720140033087,589
"CXCL5",3,30,"c4",0.034320433408751,589
"CXCR4",3,30,"c5",2.82859898117931,589
"CYTIP",3,30,"c5",1.01374092930958,589
"DAPK3",3,30,"c1",0.147748487872466,589
"DMKN",3,30,"c1",0.187907870683276,589
"DNAAF1",3,30,"c1",0.0317101314625551,589
"DNTTIP1",3,30,"c1",0.344326706214121,589
"DPT",3,30,"c2",0.711189811268622,589
"DSC2",3,30,"c4",1.8590313177233,589
"DSP",3,30,"c1",2.24791159089616,589
"DST",3,30,"c4",7.17707370847231,589
