"genes","task_id","curr_size","top_cluster_gr40","glm_coef_gr40","seed_number"
"AATK",4,40,"NoSig",0,989
"ABL1",4,40,"NoSig",0,989
"ABL2",4,40,"NoSig",0,989
"ACACB",4,40,"NoSig",0,989
"ACE",4,40,"NoSig",0,989
"ACKR1",4,40,"NoSig",0,989
"ACKR3",4,40,"NoSig",0,989
"ACKR4",4,40,"NoSig",0,989
"ACP5",4,40,"NoSig",0,989
"ACTA2",4,40,"c6",4.7624973306538,989
"ACTG2",4,40,"NoSig",0,989
"ACVR1",4,40,"NoSig",0,989
"ACVR1B",4,40,"NoSig",0,989
"ACVR2A",4,40,"NoSig",0,989
"ACVRL1",4,40,"NoSig",0,989
"ADGRA2",4,40,"NoSig",0,989
"ADGRA3",4,40,"NoSig",0,989
"ADGRE2",4,40,"NoSig",0,989
"ADGRE5",4,40,"NoSig",0,989
"ADGRF1",4,40,"NoSig",0,989
"ADGRF3",4,40,"NoSig",0,989
"ADGRF5",4,40,"NoSig",0,989
"ADGRG1",4,40,"NoSig",0,989
"ADGRG3",4,40,"NoSig",0,989
"ADGRG5",4,40,"NoSig",0,989
"ADGRG6",4,40,"NoSig",0,989
"ADGRL1",4,40,"NoSig",0,989
"ADGRL2",4,40,"NoSig",0,989
"ADGRL4",4,40,"NoSig",0,989
"ADGRV1",4,40,"NoSig",0,989
"ADIPOQ",4,40,"NoSig",0,989
"ADIRF",4,40,"NoSig",0,989
"ADM2",4,40,"NoSig",0,989
"AGR2",4,40,"NoSig",0,989
"AHI1",4,40,"NoSig",0,989
"AHR",4,40,"NoSig",0,989
"AIF1",4,40,"c3",0.710208413321211,989
"AKT1",4,40,"NoSig",0,989
"ALCAM",4,40,"NoSig",0,989
"ALOX5AP",4,40,"NoSig",0,989
"ANGPT1",4,40,"NoSig",0,989
"ANGPT2",4,40,"NoSig",0,989
"ANGPTL1",4,40,"NoSig",0,989
"ANKRD1",4,40,"NoSig",0,989
"ANXA1",4,40,"c3",1.2983735439316,989
"ANXA2",4,40,"NoSig",0,989
"ANXA4",4,40,"NoSig",0,989
"APOA1",4,40,"NoSig",0,989
"APOC1",4,40,"NoSig",0,989
"APOD",4,40,"NoSig",0,989
