"genes","task_id","curr_size","top_cluster_gr70","glm_coef_gr70","seed_number"
"ABCC11",7,70,"c1",3.8507083250272,589
"ACTA2",7,70,"c7",5.14108646954449,589
"ACTG2",7,70,"c4",2.3131126263307,589
"ADAM9",7,70,"c1",1.64197416904291,589
"ADGRE5",7,70,"c5",0.480946246253686,589
"ADH1B",7,70,"c7",0.434401246684297,589
"ADIPOQ",7,70,"NoSig",0,589
"AGR3",7,70,"c1",0.431134962954672,589
"AIF1",7,70,"c3",2.56265386421226,589
"AKR1C1",7,70,"c1",0.149967389701884,589
"AKR1C3",7,70,"c2",0.0844346350490109,589
"ALDH1A3",7,70,"c4",0.39159904275755,589
"ANGPT2",7,70,"c7",0.627551448579147,589
"ANKRD28",7,70,"c1",0.253158139513266,589
"ANKRD29",7,70,"c7",0.655427241554239,589
"ANKRD30A",7,70,"c1",6.74088802782068,589
"APOBEC3A",7,70,"c1",0.0200028160870496,589
"APOBEC3B",7,70,"c1",0.106314800869996,589
"APOC1",7,70,"c3",2.00174406836789,589
"AQP1",7,70,"c7",6.62017442522448,589
"AQP3",7,70,"c1",0.290856329679084,589
"AR",7,70,"c1",1.38825090205929,589
"AVPR1A",7,70,"c7",0.319809457352128,589
"BACE2",7,70,"c1",0.41078265758297,589
"BANK1",7,70,"c6",1.41684470637642,589
"BASP1",7,70,"c2",1.56135867401994,589
"C15orf48",7,70,"c3",0.820284213715821,589
"C1QA",7,70,"c3",0.895166481507882,589
"C1QC",7,70,"c3",1.34209306993517,589
"C2orf42",7,70,"c1",0.104152602887922,589
"C5orf46",7,70,"c4",0.307241107221723,589
"C6orf132",7,70,"c1",0.381881714759488,589
"CAV1",7,70,"c7",2.80549137509007,589
"CAVIN2",7,70,"c7",0.407898387234646,589
"CCDC6",7,70,"c1",1.92469650360351,589
"CCDC80",7,70,"c2",6.48126746275178,589
"CCL5",7,70,"c5",1.23038740308283,589
"CCL8",7,70,"c3",0.226149784052973,589
"CCND1",7,70,"c1",7.88095789668099,589
"CCPG1",7,70,"c2",0.995167183819567,589
"CCR7",7,70,"c5",0.652634755329746,589
"CD14",7,70,"c3",1.07770344420132,589
"CD163",7,70,"c3",1.7671288653332,589
"CD19",7,70,"c6",0.418962081159557,589
"CD247",7,70,"c5",0.623343868891534,589
"CD27",7,70,"c6",0.588807274358894,589
"CD274",7,70,"c5",0.0759154955154344,589
"CD3E",7,70,"c5",2.72180274958674,589
"CD3G",7,70,"c5",0.74852896474483,589
"CD4",7,70,"c3",3.59859360847114,589
"CD68",7,70,"c3",3.89237252182213,589
"CD69",7,70,"c5",0.656579443026759,589
"CD79A",7,70,"c6",0.916403680385885,589
"CD79B",7,70,"c6",0.232125246651296,589
"CD80",7,70,"c3",0.102744427044067,589
"CD83",7,70,"c3",0.804512178086753,589
"CD86",7,70,"c3",0.760998818237465,589
"CD8A",7,70,"c5",1.21857817247947,589
"CD9",7,70,"c1",4.10522154408405,589
"CD93",7,70,"c7",3.56060590028534,589
"CDC42EP1",7,70,"c4",0.238532719175016,589
"CDH1",7,70,"c1",4.26335232518985,589
"CEACAM6",7,70,"c1",3.59362844763395,589
"CEACAM8",7,70,"c1",0.13271023219413,589
"CENPF",7,70,"c1",0.650315913703675,589
"CLEC14A",7,70,"c7",1.86291546881258,589
"CLEC9A",7,70,"c3",0.121465398738817,589
"CLECL1",7,70,"c6",0.169080089309173,589
"CLIC6",7,70,"c4",0.0543291803379102,589
"CPA3",7,70,"c9",2.16759435561162,589
"CRISPLD2",7,70,"c2",1.4694485718992,589
"CTH",7,70,"c1",0.0447882568344937,589
"CTLA4",7,70,"c5",0.445234209523449,589
"CTSG",7,70,"c9",0.805644221876477,589
"CTTN",7,70,"c1",3.64539628232555,589
"CX3CR1",7,70,"c4",0.204478006734355,589
"CXCL12",7,70,"c2",6.18209960370598,589
"CXCL16",7,70,"c3",0.943425560820246,589
"CXCL5",7,70,"c4",0.0356204221266791,589
"CXCR4",7,70,"c5",2.55248811874013,589
"CYTIP",7,70,"c5",0.948440274832326,589
"DAPK3",7,70,"c1",0.145943862618275,589
"DMKN",7,70,"c4",0.264133252902442,589
"DNAAF1",7,70,"c1",0.0312920142892667,589
"DNTTIP1",7,70,"c1",0.349103544492268,589
"DPT",7,70,"c2",0.734104216008183,589
"DSC2",7,70,"c4",1.94447502662032,589
"DSP",7,70,"c4",3.02890091227641,589
"DST",7,70,"c4",7.22885116095014,589
"DUSP2",7,70,"c5",0.207348348332294,589
"DUSP5",7,70,"c1",0.271122893127627,589
"EGFL7",7,70,"c7",0.514883736491613,589
"EGFR",7,70,"c4",0.97839857511928,589
"EIF4EBP1",7,70,"c1",0.336591871824638,589
"ENAH",7,70,"c1",2.11218541739238,589
"EPCAM",7,70,"c1",9.38491926473402,589
"ERBB2",7,70,"c1",20.6059958939587,589
"ERN1",7,70,"c2",0.703282038224345,589
"ESM1",7,70,"c7",0.283551840934332,589
"ESR1",7,70,"c4",0.967084661985259,589
"FAM107B",7,70,"c5",0.979270163883409,589
"FAM49A",7,70,"c2",0.15540060845484,589
"FASN",7,70,"c1",5.83631584031192,589
"FBLN1",7,70,"c2",2.29572489564909,589
"FCER1A",7,70,"c3",0.48284195509494,589
"FCER1G",7,70,"c3",4.20819557927973,589
"FCGR3A",7,70,"c3",0.874067398949477,589
"FGL2",7,70,"c3",2.80386231761289,589
"FLNB",7,70,"c4",2.03330695534528,589
"FOXA1",7,70,"c1",8.32502913404962,589
"FOXC2",7,70,"c4",0.187941172510743,589
"FOXP3",7,70,"c5",0.124506166313009,589
"FSTL3",7,70,"c2",0.373208840685816,589
"GATA3",7,70,"c1",8.04510173022852,589
"GJB2",7,70,"c2",0.814638043484204,589
"GLIPR1",7,70,"c3",1.02862246149058,589
"GNLY",7,70,"c5",0.171812642504988,589
"GPR183",7,70,"c5",0.702745877116072,589
"GZMA",7,70,"c5",0.751283482534781,589
"GZMK",7,70,"c5",0.0608787676635521,589
"HAVCR2",7,70,"c3",1.12231266020521,589
"HMGA1",7,70,"c1",1.42398543319681,589
"HOOK2",7,70,"c1",0.421041087797516,589
"HOXD8",7,70,"c1",0.33958139842498,589
"HOXD9",7,70,"c7",0.652372227809317,589
"HPX",7,70,"c1",0.109167144130212,589
"IGF1",7,70,"c2",1.22373761397866,589
"IGSF6",7,70,"c3",1.76117399231212,589
"IL2RA",7,70,"NoSig",0,589
"IL2RG",7,70,"c5",1.20038962118244,589
"IL3RA",7,70,"c8",1.01592936916471,589
"IL7R",7,70,"c5",3.31529293266727,589
"ITGAM",7,70,"c3",0.473601054288106,589
"ITGAX",7,70,"c3",1.69496410095555,589
"ITM2C",7,70,"c6",2.81457550119891,589
"JUP",7,70,"c1",1.08294586932297,589
"KARS",7,70,"c1",0.456448374811861,589
"KDR",7,70,"c7",1.15985809559645,589
"KIT",7,70,"c4",1.08576214199375,589
"KLF5",7,70,"c1",0.802063171962103,589
"KLRB1",7,70,"c5",0.857883440413769,589
"KLRC1",7,70,"c5",0.161392419527792,589
"KLRD1",7,70,"c5",0.234018093462957,589
"KLRF1",7,70,"c5",0.0721499554576326,589
"KRT14",7,70,"c4",4.561201609171,589
"KRT23",7,70,"c4",1.24307061167607,589
"KRT5",7,70,"c4",3.40491165742483,589
"KRT6B",7,70,"c4",2.0418061962232,589
"KRT7",7,70,"c1",13.2657220322446,589
"KRT8",7,70,"c1",6.75174476018478,589
"LAG3",7,70,"c1",0.0420560009806236,589
"LARS",7,70,"c1",1.33282070802147,589
"LDHB",7,70,"c5",0.841455915642102,589
"LGALSL",7,70,"c1",0.163209306476592,589
"LILRA4",7,70,"c8",1.64916399269872,589
"LPL",7,70,"c7",0.117916539245492,589
"LPXN",7,70,"c3",0.786993104328043,589
"LRRC15",7,70,"c2",0.770989018915644,589
"LTB",7,70,"c5",0.434691290051706,589
"LUM",7,70,"c2",16.5052297195447,589
"LY86",7,70,"c3",0.229472746031613,589
"LYPD3",7,70,"c1",1.92304408834603,589
"LYZ",7,70,"c3",10.2587379660487,589
"MAP3K8",7,70,"c4",0.366573025435851,589
"MDM2",7,70,"c1",3.14886046729701,589
"MKI67",7,70,"c1",0.366019261223095,589
"MLPH",7,70,"c1",4.80736762074735,589
"MMP1",7,70,"c3",0.571107294481873,589
"MMP12",7,70,"c3",0.758444996646806,589
"MMP2",7,70,"c2",4.78515060183659,589
"MMRN2",7,70,"c7",1.45403991202907,589
"MNDA",7,70,"c3",0.9411193548186,589
"MRC1",7,70,"c3",1.36730627805026,589
"MS4A1",7,70,"c6",2.32807889933166,589
"MUC6",7,70,"c1",0.321423675477192,589
"MYBPC1",7,70,"c1",0.443154941171163,589
"MYH11",7,70,"c4",2.36167681474739,589
"MYLK",7,70,"c4",5.81987794155813,589
"MYO5B",7,70,"c1",1.80758266585193,589
"MZB1",7,70,"c6",1.58233524376716,589
"NARS",7,70,"c1",3.05356016708682,589
"NCAM1",7,70,"c5",0.0187022140748454,589
"NDUFA4L2",7,70,"c1",0.0248921202686165,589
"NKG7",7,70,"c5",0.262671092130616,589
"NOSTRIN",7,70,"c7",0.757309728002202,589
"OCIAD2",7,70,"c1",0.482010117375767,589
"OPRPN",7,70,"c4",0.651264739902366,589
"OXTR",7,70,"c4",0.34646467115646,589
"PCLAF",7,70,"c1",0.925811216174846,589
"PDCD1",7,70,"c5",0.0175308187937516,589
"PDCD1LG2",7,70,"c3",0.212290361763308,589
"PDE4A",7,70,"c2",0.279496745204473,589
"PDGFRA",7,70,"c2",2.10742950100166,589
"PDGFRB",7,70,"c2",2.36574189086356,589
"PDK4",7,70,"c2",1.00798328741583,589
"PECAM1",7,70,"c7",4.67009085533683,589
"PELI1",7,70,"c1",0.228717187066487,589
"PGR",7,70,"c4",0.312050140741843,589
"PIGR",7,70,"c4",0.779445784647922,589
"PIM1",7,70,"c2",0.388994963171404,589
"PLD4",7,70,"c8",0.782409664576238,589
"POSTN",7,70,"c2",14.002544526722,589
"PPARG",7,70,"c7",0.557144676662682,589
"PRDM1",7,70,"c2",0.842252012818242,589
"PRF1",7,70,"c5",0.193142244356568,589
"PTGDS",7,70,"c2",2.7506609682703,589
"PTN",7,70,"c4",3.82597826884814,589
"PTPRC",7,70,"c5",3.25572090384409,589
"PTRHD1",7,70,"c1",0.426673069993436,589
"QARS",7,70,"c1",1.16219318234426,589
"RAB30",7,70,"c2",0.322940951318107,589
"RAMP2",7,70,"c7",1.4397209556934,589
"RAPGEF3",7,70,"c7",0.559507904479741,589
"RHOH",7,70,"c1",0.799796897390095,589
"RORC",7,70,"c1",0.131317128918569,589
"RTKN2",7,70,"c1",0.459345671165605,589
"RUNX1",7,70,"c4",2.72871027286699,589
"S100A14",7,70,"c1",2.53970867013484,589
"S100A4",7,70,"c2",1.16244767876686,589
"S100A8",7,70,"c1",0.332407818328699,589
"SCD",7,70,"c1",11.4458075040759,589
"SCGB2A1",7,70,"c4",0.112560449603124,589
"SDC4",7,70,"c1",0.501501773986162,589
"SEC11C",7,70,"c1",1.06647154609012,589
"SEC24A",7,70,"c1",1.05424762519056,589
"SELL",7,70,"c5",0.6097692540954,589
"SERHL2",7,70,"c1",6.5122586638052,589
"SERPINA3",7,70,"c4",7.7341433133158,589
"SERPINB9",7,70,"c5",0.637489689385183,589
"SFRP1",7,70,"c4",5.76803479394488,589
"SFRP4",7,70,"c2",3.14285492044846,589
"SH3YL1",7,70,"c1",1.27192823815584,589
"SLAMF1",7,70,"c5",0.404118569220113,589
"SLAMF7",7,70,"c6",1.80080747823666,589
"SLC25A37",7,70,"c4",0.675943880669645,589
"SLC5A6",7,70,"c1",0.993926796167682,589
"SMAP2",7,70,"c5",0.622012743194286,589
"SMS",7,70,"c1",1.68109878398087,589
"SNAI1",7,70,"c7",0.210589198025009,589
"SOX17",7,70,"c7",0.480802153855527,589
"SOX18",7,70,"c7",0.246810325155316,589
"SPIB",7,70,"c8",1.43130480751947,589
"SQLE",7,70,"c1",1.02200822940903,589
