"genes","task_id","curr_size","top_cluster_gr70","glm_coef_gr70","seed_number"
"AATK",7,70,"NoSig",0,989
"ABL1",7,70,"NoSig",0,989
"ABL2",7,70,"NoSig",0,989
"ACACB",7,70,"NoSig",0,989
"ACE",7,70,"NoSig",0,989
"ACKR1",7,70,"NoSig",0,989
"ACKR3",7,70,"NoSig",0,989
"ACKR4",7,70,"NoSig",0,989
"ACP5",7,70,"NoSig",0,989
"ACTA2",7,70,"c6",4.91222086564488,989
"ACTG2",7,70,"NoSig",0,989
"ACVR1",7,70,"NoSig",0,989
"ACVR1B",7,70,"NoSig",0,989
"ACVR2A",7,70,"NoSig",0,989
"ACVRL1",7,70,"NoSig",0,989
"ADGRA2",7,70,"NoSig",0,989
"ADGRA3",7,70,"NoSig",0,989
"ADGRE2",7,70,"NoSig",0,989
"ADGRE5",7,70,"NoSig",0,989
"ADGRF1",7,70,"NoSig",0,989
"ADGRF3",7,70,"NoSig",0,989
"ADGRF5",7,70,"NoSig",0,989
"ADGRG1",7,70,"NoSig",0,989
"ADGRG3",7,70,"NoSig",0,989
"ADGRG5",7,70,"NoSig",0,989
"ADGRG6",7,70,"NoSig",0,989
"ADGRL1",7,70,"NoSig",0,989
"ADGRL2",7,70,"NoSig",0,989
"ADGRL4",7,70,"NoSig",0,989
"ADGRV1",7,70,"NoSig",0,989
"ADIPOQ",7,70,"NoSig",0,989
"ADIRF",7,70,"NoSig",0,989
"ADM2",7,70,"NoSig",0,989
"AGR2",7,70,"NoSig",0,989
"AHI1",7,70,"NoSig",0,989
"AHR",7,70,"NoSig",0,989
"AIF1",7,70,"c3",0.708074273481875,989
"AKT1",7,70,"NoSig",0,989
"ALCAM",7,70,"NoSig",0,989
"ALOX5AP",7,70,"NoSig",0,989
"ANGPT1",7,70,"NoSig",0,989
"ANGPT2",7,70,"NoSig",0,989
"ANGPTL1",7,70,"NoSig",0,989
"ANKRD1",7,70,"NoSig",0,989
"ANXA1",7,70,"c3",1.17368756270243,989
"ANXA2",7,70,"NoSig",0,989
"ANXA4",7,70,"NoSig",0,989
"APOA1",7,70,"NoSig",0,989
"APOC1",7,70,"NoSig",0,989
"APOD",7,70,"NoSig",0,989
"APOE",7,70,"NoSig",0,989
"APP",7,70,"NoSig",0,989
"AQP3",7,70,"NoSig",0,989
"AR",7,70,"NoSig",0,989
"AREG",7,70,"NoSig",0,989
"ARF1",7,70,"NoSig",0,989
"ARG1",7,70,"c10",0.44694506320926,989
