"genes","task_id","curr_size","top_cluster_gr30","glm_coef_gr30","seed_number"
"AATK",3,30,"NoSig",0,989
"ABL1",3,30,"NoSig",0,989
"ABL2",3,30,"NoSig",0,989
"ACACB",3,30,"NoSig",0,989
"ACE",3,30,"NoSig",0,989
"ACKR1",3,30,"NoSig",0,989
"ACKR3",3,30,"NoSig",0,989
"ACKR4",3,30,"NoSig",0,989
"ACP5",3,30,"NoSig",0,989
"ACTA2",3,30,"c6",5.03858522482351,989
"ACTG2",3,30,"NoSig",0,989
"ACVR1",3,30,"NoSig",0,989
"ACVR1B",3,30,"NoSig",0,989
"ACVR2A",3,30,"NoSig",0,989
"ACVRL1",3,30,"NoSig",0,989
"ADGRA2",3,30,"NoSig",0,989
"ADGRA3",3,30,"NoSig",0,989
"ADGRE2",3,30,"NoSig",0,989
"ADGRE5",3,30,"NoSig",0,989
"ADGRF1",3,30,"NoSig",0,989
"ADGRF3",3,30,"NoSig",0,989
"ADGRF5",3,30,"NoSig",0,989
"ADGRG1",3,30,"NoSig",0,989
"ADGRG3",3,30,"NoSig",0,989
"ADGRG5",3,30,"NoSig",0,989
"ADGRG6",3,30,"NoSig",0,989
"ADGRL1",3,30,"NoSig",0,989
"ADGRL2",3,30,"NoSig",0,989
"ADGRL4",3,30,"NoSig",0,989
"ADGRV1",3,30,"NoSig",0,989
"ADIPOQ",3,30,"NoSig",0,989
"ADIRF",3,30,"NoSig",0,989
"ADM2",3,30,"c2",0.108931422702221,989
"AGR2",3,30,"NoSig",0,989
"AHI1",3,30,"NoSig",0,989
"AHR",3,30,"NoSig",0,989
"AIF1",3,30,"c3",0.713186461474945,989
"AKT1",3,30,"NoSig",0,989
"ALCAM",3,30,"NoSig",0,989
"ALOX5AP",3,30,"NoSig",0,989
"ANGPT1",3,30,"NoSig",0,989
"ANGPT2",3,30,"NoSig",0,989
"ANGPTL1",3,30,"NoSig",0,989
"ANKRD1",3,30,"NoSig",0,989
"ANXA1",3,30,"c3",1.2376377198528,989
"ANXA2",3,30,"NoSig",0,989
"ANXA4",3,30,"NoSig",0,989
"APOA1",3,30,"NoSig",0,989
"APOC1",3,30,"NoSig",0,989
"APOD",3,30,"NoSig",0,989
"APOE",3,30,"NoSig",0,989
"APP",3,30,"NoSig",0,989
"AQP3",3,30,"NoSig",0,989
"AR",3,30,"NoSig",0,989
"AREG",3,30,"NoSig",0,989
"ARF1",3,30,"NoSig",0,989
"ARG1",3,30,"c10",0.446598942197567,989
"ARHGDIB",3,30,"NoSig",0,989
"ARID5B",3,30,"NoSig",0,989
"ATF3",3,30,"NoSig",0,989
"ATG10",3,30,"NoSig",0,989
"ATG12",3,30,"NoSig",0,989
"ATG5",3,30,"NoSig",0,989
"ATM",3,30,"NoSig",0,989
"ATP5F1B",3,30,"NoSig",0,989
"ATP5F1E",3,30,"NoSig",0,989
"ATR",3,30,"NoSig",0,989
"AXL",3,30,"NoSig",0,989
"AZGP1",3,30,"c10",3.10241656752954,989
"AZU1",3,30,"NoSig",0,989
"B2M",3,30,"NoSig",0,989
"B3GNT7",3,30,"NoSig",0,989
"BAG3",3,30,"NoSig",0,989
"BASP1",3,30,"NoSig",0,989
"BAX",3,30,"NoSig",0,989
"BBLN",3,30,"NoSig",0,989
"BCL2",3,30,"NoSig",0,989
"BCL2L1",3,30,"NoSig",0,989
"BECN1",3,30,"NoSig",0,989
"BEST1",3,30,"NoSig",0,989
"BGN",3,30,"c6",6.17169485829109,989
"BID",3,30,"NoSig",0,989
"BIRC3",3,30,"c2",0.907051538285662,989
"BIRC5",3,30,"NoSig",0,989
"BMP1",3,30,"NoSig",0,989
"BMP2",3,30,"NoSig",0,989
"BMP3",3,30,"NoSig",0,989
"BMP4",3,30,"NoSig",0,989
"BMP5",3,30,"NoSig",0,989
"BMP7",3,30,"NoSig",0,989
"BMPR1A",3,30,"NoSig",0,989
"BMPR2",3,30,"NoSig",0,989
"BRAF",3,30,"NoSig",0,989
"BRCA1",3,30,"NoSig",0,989
"BST1",3,30,"NoSig",0,989
