"genes","task_id","curr_size","top_cluster_gr40","glm_coef_gr40","seed_number"
"ABCC11",4,40,"c1",4.17606060605831,589
"ACTA2",4,40,"c4",5.07275166339682,589
"ACTG2",4,40,"c1",1.27915605160831,589
"ADAM9",4,40,"c1",1.69782593137497,589
"ADGRE5",4,40,"c5",0.472459620565065,589
"ADH1B",4,40,"c7",0.844408941975747,589
"ADIPOQ",4,40,"NoSig",0,589
"AGR3",4,40,"c1",0.448434623107391,589
"AIF1",4,40,"c3",2.81894868060414,589
"AKR1C1",4,40,"c1",0.18150111871933,589
"AKR1C3",4,40,"c2",0.0933003712545883,589
"ALDH1A3",4,40,"c1",0.194330294656184,589
"ANGPT2",4,40,"c7",0.639077613557642,589
"ANKRD28",4,40,"c1",0.255219486314013,589
"ANKRD29",4,40,"c7",0.696500985374093,589
"ANKRD30A",4,40,"c1",6.70300783794185,589
"APOBEC3A",4,40,"c1",0.0216577284382832,589
"APOBEC3B",4,40,"c1",0.111990749853707,589
"APOC1",4,40,"c3",2.40745847568004,589
"AQP1",4,40,"c7",7.37164632847761,589
"AQP3",4,40,"c1",0.345508678522612,589
"AR",4,40,"c1",1.39978607460568,589
"AVPR1A",4,40,"c7",0.348760455564407,589
"BACE2",4,40,"c1",0.439544489885782,589
"BANK1",4,40,"c6",1.57741249633245,589
"BASP1",4,40,"c2",1.80304898602043,589
"C15orf48",4,40,"c3",0.968931477227737,589
"C1QA",4,40,"c3",0.919995352745373,589
"C1QC",4,40,"c3",1.40256173132622,589
"C2orf42",4,40,"c1",0.104941069791457,589
"C5orf46",4,40,"c4",0.289241322387873,589
"C6orf132",4,40,"c1",0.388377037488453,589
"CAV1",4,40,"c7",3.00642138525477,589
"CAVIN2",4,40,"c7",0.449615281450898,589
"CCDC6",4,40,"c1",1.92925990566326,589
"CCDC80",4,40,"c2",6.93759860179172,589
"CCL5",4,40,"c5",1.23988992642857,589
"CCL8",4,40,"c2",0.114394337345917,589
"CCND1",4,40,"c1",8.01889644567907,589
"CCPG1",4,40,"c1",0.502902441359546,589
"CCR7",4,40,"c5",0.702997274471462,589
"CD14",4,40,"c3",0.975946556630102,589
"CD163",4,40,"c3",1.82767767009759,589
"CD19",4,40,"c6",0.463608338228334,589
"CD247",4,40,"c5",0.635258113843728,589
"CD27",4,40,"c5",0.245412468186207,589
"CD274",4,40,"c5",0.0822199796786665,589
"CD3E",4,40,"c5",2.76671692970136,589
"CD3G",4,40,"c5",0.752219874202138,589
"CD4",4,40,"c3",4.01551889637532,589
"CD68",4,40,"c3",4.49143801514063,589
"CD69",4,40,"c5",0.701166276633647,589
"CD79A",4,40,"c6",0.943845610505176,589
"CD79B",4,40,"c6",0.243828506808129,589
"CD80",4,40,"c3",0.123182274789561,589
"CD83",4,40,"c3",0.932711631932813,589
"CD86",4,40,"c3",0.853827768837607,589
"CD8A",4,40,"c5",1.2486744718319,589
"CD9",4,40,"c1",4.19494902728533,589
"CD93",4,40,"c7",3.69516554370106,589
"CDC42EP1",4,40,"c4",0.251338531894664,589
"CDH1",4,40,"c1",4.47013135969297,589
"CEACAM6",4,40,"c1",3.46405373780111,589
"CEACAM8",4,40,"c1",0.130622743400784,589
"CENPF",4,40,"c1",0.660859028218856,589
"CLEC14A",4,40,"c7",1.9131632325558,589
"CLEC9A",4,40,"c3",0.115377443876872,589
"CLECL1",4,40,"c6",0.177945862123007,589
"CLIC6",4,40,"c4",0.056709282389568,589
"CPA3",4,40,"c9",1.95002341191202,589
"CRISPLD2",4,40,"c2",1.61665032245707,589
"CTH",4,40,"c1",0.0510060468089158,589
"CTLA4",4,40,"c5",0.434127984199961,589
"CTSG",4,40,"c9",0.746097697989979,589
"CTTN",4,40,"c1",3.68349724548463,589
"CX3CR1",4,40,"c4",0.220265731958235,589
"CXCL12",4,40,"c2",6.45297727268221,589
"CXCL16",4,40,"c1",0.249714459454544,589
"CXCL5",4,40,"c4",0.0327309116421392,589
"CXCR4",4,40,"c5",2.69490908635568,589
"CYTIP",4,40,"c5",0.990044694502408,589
"DAPK3",4,40,"c1",0.150503598952595,589
"DMKN",4,40,"c1",0.185775472216201,589
"DNAAF1",4,40,"c1",0.0319737900624236,589
"DNTTIP1",4,40,"c1",0.354006067833985,589
"DPT",4,40,"c2",0.745835462007894,589
"DSC2",4,40,"c4",1.89811513932248,589
"DSP",4,40,"c4",3.00675941597862,589
"DST",4,40,"c4",7.20926420244514,589
"DUSP2",4,40,"c5",0.200247832657568,589
"DUSP5",4,40,"c1",0.273442293495856,589
"EGFL7",4,40,"c7",0.561031111209793,589
"EGFR",4,40,"c4",0.930827961723081,589
"EIF4EBP1",4,40,"c1",0.36458074562131,589
"ENAH",4,40,"c1",2.19774056531015,589
"EPCAM",4,40,"c1",9.51709783504036,589
"ERBB2",4,40,"c1",21.4378453933592,589
"ERN1",4,40,"c2",0.816300406399247,589
"ESM1",4,40,"c1",0.0996105078186591,589
"ESR1",4,40,"c4",1.14750284300526,589
