"genes","task_id","curr_size","top_cluster_gr100","glm_coef_gr100","seed_number"
"AATK",10,100,"NoSig",0,989
"ABL1",10,100,"NoSig",0,989
"ABL2",10,100,"NoSig",0,989
"ACACB",10,100,"NoSig",0,989
"ACE",10,100,"NoSig",0,989
"ACKR1",10,100,"NoSig",0,989
"ACKR3",10,100,"NoSig",0,989
"ACKR4",10,100,"NoSig",0,989
"ACP5",10,100,"NoSig",0,989
"ACTA2",10,100,"c6",5.26705256074912,989
"ACTG2",10,100,"NoSig",0,989
"ACVR1",10,100,"NoSig",0,989
"ACVR1B",10,100,"NoSig",0,989
"ACVR2A",10,100,"NoSig",0,989
"ACVRL1",10,100,"NoSig",0,989
"ADGRA2",10,100,"NoSig",0,989
"ADGRA3",10,100,"NoSig",0,989
"ADGRE2",10,100,"NoSig",0,989
"ADGRE5",10,100,"NoSig",0,989
"ADGRF1",10,100,"NoSig",0,989
"ADGRF3",10,100,"NoSig",0,989
"ADGRF5",10,100,"NoSig",0,989
"ADGRG1",10,100,"NoSig",0,989
"ADGRG3",10,100,"NoSig",0,989
"ADGRG5",10,100,"NoSig",0,989
"ADGRG6",10,100,"NoSig",0,989
"ADGRL1",10,100,"NoSig",0,989
"ADGRL2",10,100,"NoSig",0,989
"ADGRL4",10,100,"NoSig",0,989
"ADGRV1",10,100,"NoSig",0,989
"ADIPOQ",10,100,"NoSig",0,989
"ADIRF",10,100,"NoSig",0,989
"ADM2",10,100,"NoSig",0,989
"AGR2",10,100,"NoSig",0,989
"AHI1",10,100,"NoSig",0,989
"AHR",10,100,"NoSig",0,989
"AIF1",10,100,"c3",0.670883217301258,989
"AKT1",10,100,"NoSig",0,989
"ALCAM",10,100,"NoSig",0,989
"ALOX5AP",10,100,"NoSig",0,989
"ANGPT1",10,100,"NoSig",0,989
"ANGPT2",10,100,"NoSig",0,989
"ANGPTL1",10,100,"NoSig",0,989
"ANKRD1",10,100,"NoSig",0,989
"ANXA1",10,100,"c3",0.90196953230376,989
"ANXA2",10,100,"NoSig",0,989
"ANXA4",10,100,"NoSig",0,989
"APOA1",10,100,"NoSig",0,989
"APOC1",10,100,"NoSig",0,989
"APOD",10,100,"NoSig",0,989
"APOE",10,100,"NoSig",0,989
"APP",10,100,"NoSig",0,989
"AQP3",10,100,"NoSig",0,989
"AR",10,100,"NoSig",0,989
"AREG",10,100,"NoSig",0,989
"ARF1",10,100,"NoSig",0,989
"ARG1",10,100,"c10",0.439185081122417,989
"ARHGDIB",10,100,"c3",1.16708892066146,989
"ARID5B",10,100,"NoSig",0,989
"ATF3",10,100,"NoSig",0,989
"ATG10",10,100,"NoSig",0,989
"ATG12",10,100,"NoSig",0,989
"ATG5",10,100,"NoSig",0,989
"ATM",10,100,"NoSig",0,989
"ATP5F1B",10,100,"NoSig",0,989
"ATP5F1E",10,100,"NoSig",0,989
"ATR",10,100,"NoSig",0,989
"AXL",10,100,"NoSig",0,989
"AZGP1",10,100,"c10",3.06383405745794,989
"AZU1",10,100,"NoSig",0,989
"B2M",10,100,"NoSig",0,989
"B3GNT7",10,100,"NoSig",0,989
"BAG3",10,100,"NoSig",0,989
"BASP1",10,100,"c3",0.499102507169971,989
"BAX",10,100,"NoSig",0,989
"BBLN",10,100,"NoSig",0,989
"BCL2",10,100,"NoSig",0,989
"BCL2L1",10,100,"NoSig",0,989
"BECN1",10,100,"NoSig",0,989
"BEST1",10,100,"NoSig",0,989
"BGN",10,100,"c6",5.11456007692638,989
"BID",10,100,"NoSig",0,989
"BIRC3",10,100,"c2",0.725227040597154,989
"BIRC5",10,100,"NoSig",0,989
"BMP1",10,100,"NoSig",0,989
"BMP2",10,100,"NoSig",0,989
"BMP3",10,100,"NoSig",0,989
"BMP4",10,100,"NoSig",0,989
"BMP5",10,100,"NoSig",0,989
"BMP7",10,100,"NoSig",0,989
"BMPR1A",10,100,"NoSig",0,989
"BMPR2",10,100,"NoSig",0,989
"BRAF",10,100,"NoSig",0,989
"BRCA1",10,100,"NoSig",0,989
"BST1",10,100,"NoSig",0,989
"BST2",10,100,"NoSig",0,989
"BTF3",10,100,"NoSig",0,989
"BTG1",10,100,"NoSig",0,989
"BTK",10,100,"NoSig",0,989
"C11orf96",10,100,"c6",2.23390659115002,989
"C1QA",10,100,"c3",2.16138605463498,989
"C1QB",10,100,"c3",3.10378594258011,989
"C1QC",10,100,"c3",2.8932634751363,989
"C5AR2",10,100,"NoSig",0,989
"CACNA1C",10,100,"NoSig",0,989
"CALB1",10,100,"NoSig",0,989
"CALD1",10,100,"NoSig",0,989
"CALM1",10,100,"NoSig",0,989
"CALM2",10,100,"NoSig",0,989
"CALM3",10,100,"NoSig",0,989
"CAMP",10,100,"NoSig",0,989
"CARMN",10,100,"c5",0.792716464622878,989
"CASP3",10,100,"NoSig",0,989
"CASP8",10,100,"NoSig",0,989
"CASR",10,100,"NoSig",0,989
"CAV1",10,100,"NoSig",0,989
"CCDC80",10,100,"c2",0.197708764082435,989
"CCL11",10,100,"NoSig",0,989
"CCL13",10,100,"NoSig",0,989
"CCL15",10,100,"NoSig",0,989
"CCL17",10,100,"NoSig",0,989
"CCL18",10,100,"c3",0.284261101981262,989
"CCL19",10,100,"NoSig",0,989
"CCL2",10,100,"NoSig",0,989
"CCL20",10,100,"NoSig",0,989
"CCL21",10,100,"NoSig",0,989
"CCL22",10,100,"NoSig",0,989
"CCL26",10,100,"NoSig",0,989
"CCL28",10,100,"c2",0.477507238520835,989
"CCL3",10,100,"NoSig",0,989
"CCL4",10,100,"NoSig",0,989
"CCL5",10,100,"NoSig",0,989
"CCL8",10,100,"NoSig",0,989
"CCND1",10,100,"NoSig",0,989
"CCR1",10,100,"NoSig",0,989
"CCR10",10,100,"NoSig",0,989
"CCR2",10,100,"NoSig",0,989
"CCR5",10,100,"NoSig",0,989
"CCR7",10,100,"NoSig",0,989
"CCRL2",10,100,"NoSig",0,989
"CD14",10,100,"c10",1.83677523378826,989
"CD163",10,100,"c3",0.980707057869393,989
"CD164",10,100,"NoSig",0,989
"CD19",10,100,"NoSig",0,989
"CD1C",10,100,"NoSig",0,989
"CD2",10,100,"c4",0.220064511390581,989
"CD209",10,100,"NoSig",0,989
"CD22",10,100,"NoSig",0,989
"CD24",10,100,"NoSig",0,989
"CD27",10,100,"NoSig",0,989
"CD274",10,100,"NoSig",0,989
"CD276",10,100,"NoSig",0,989
"CD28",10,100,"NoSig",0,989
"CD300A",10,100,"NoSig",0,989
"CD33",10,100,"NoSig",0,989
"CD34",10,100,"c5",0.672323204347162,989
"CD36",10,100,"NoSig",0,989
"CD37",10,100,"NoSig",0,989
"CD38",10,100,"NoSig",0,989
"CD3D",10,100,"c4",0.293465697295754,989
"CD3E",10,100,"c4",0.255353704088781,989
"CD3G",10,100,"NoSig",0,989
"CD4",10,100,"c3",0.549233113772992,989
"CD40",10,100,"NoSig",0,989
"CD40LG",10,100,"NoSig",0,989
"CD44",10,100,"c2",1.48079445398835,989
"CD47",10,100,"NoSig",0,989
"CD48",10,100,"NoSig",0,989
"CD52",10,100,"NoSig",0,989
"CD53",10,100,"c3",0.520854134691206,989
"CD55",10,100,"NoSig",0,989
"CD58",10,100,"NoSig",0,989
"CD59",10,100,"NoSig",0,989
"CD5L",10,100,"NoSig",0,989
"CD63",10,100,"NoSig",0,989
"CD68",10,100,"c3",2.11106441823538,989
"CD69",10,100,"c4",0.462291883186761,989
"CD70",10,100,"NoSig",0,989
"CD74",10,100,"NoSig",0,989
"CD79A",10,100,"NoSig",0,989
"CD80",10,100,"NoSig",0,989
"CD81",10,100,"NoSig",0,989
"CD83",10,100,"NoSig",0,989
"CD84",10,100,"NoSig",0,989
"CD86",10,100,"NoSig",0,989
"CD8A",10,100,"NoSig",0,989
"CD8B",10,100,"NoSig",0,989
"CD9",10,100,"NoSig",0,989
"CD93",10,100,"c5",0.711828493114251,989
"CDH1",10,100,"NoSig",0,989
"CDH11",10,100,"NoSig",0,989
"CDH19",10,100,"NoSig",0,989
"CDH5",10,100,"NoSig",0,989
"CDKN1A",10,100,"NoSig",0,989
"CDKN3",10,100,"NoSig",0,989
"CEACAM1",10,100,"NoSig",0,989
"CEACAM6",10,100,"NoSig",0,989
"CELSR1",10,100,"NoSig",0,989
"CELSR2",10,100,"NoSig",0,989
"CENPF",10,100,"NoSig",0,989
"CFD",10,100,"NoSig",0,989
"CFLAR",10,100,"NoSig",0,989
"CHEK1",10,100,"NoSig",0,989
"CHEK2",10,100,"NoSig",0,989
"CHI3L1",10,100,"NoSig",0,989
"CIDEA",10,100,"NoSig",0,989
"CIITA",10,100,"NoSig",0,989
"CLCF1",10,100,"NoSig",0,989
"CLDN4",10,100,"NoSig",0,989
"CLEC10A",10,100,"NoSig",0,989
"CLEC12A",10,100,"NoSig",0,989
"CLEC14A",10,100,"NoSig",0,989
"CLEC1A",10,100,"NoSig",0,989
"CLEC2B",10,100,"NoSig",0,989
"CLEC2D",10,100,"NoSig",0,989
"CLEC4A",10,100,"NoSig",0,989
"CLEC4D",10,100,"NoSig",0,989
"CLEC4E",10,100,"NoSig",0,989
"CLEC5A",10,100,"NoSig",0,989
"CLEC7A",10,100,"NoSig",0,989
"CLOCK",10,100,"NoSig",0,989
"CLU",10,100,"NoSig",0,989
"CMKLR1",10,100,"NoSig",0,989
"CNTFR",10,100,"NoSig",0,989
"COL11A1",10,100,"NoSig",0,989
"COL12A1",10,100,"NoSig",0,989
"COL14A1",10,100,"NoSig",0,989
"COL15A1",10,100,"NoSig",0,989
"COL16A1",10,100,"NoSig",0,989
"COL17A1",10,100,"NoSig",0,989
"COL18A1",10,100,"c1",0.33006877831215,989
"COL1A1",10,100,"c6",7.2495751834614,989
"COL1A2",10,100,"c6",2.22358951720971,989
"COL21A1",10,100,"NoSig",0,989
"COL27A1",10,100,"NoSig",0,989
"COL3A1",10,100,"NoSig",0,989
"COL4A1",10,100,"c6",3.26059269890862,989
"COL4A2",10,100,"c6",2.33505678999432,989
"COL4A5",10,100,"NoSig",0,989
"COL5A1",10,100,"c6",0.845375064424445,989
"COL5A2",10,100,"NoSig",0,989
"COL5A3",10,100,"NoSig",0,989
"COL6A1",10,100,"NoSig",0,989
"COL6A2",10,100,"c6",1.9684546016121,989
"COL6A3",10,100,"c6",0.646577780386762,989
"COL8A1",10,100,"NoSig",0,989
"COL9A2",10,100,"c2",0.830042683425813,989
"COL9A3",10,100,"NoSig",0,989
"COTL1",10,100,"c3",1.70355346799673,989
"COX4I2",10,100,"NoSig",0,989
"CPA3",10,100,"NoSig",0,989
"CPB1",10,100,"NoSig",0,989
"CRIP1",10,100,"c5",1.30090169647602,989
"CRP",10,100,"c10",8.69489786384077,989
"CRYAB",10,100,"c2",4.20672370055381,989
"CSF1",10,100,"NoSig",0,989
"CSF1R",10,100,"c3",0.765067230795612,989
"CSF2",10,100,"NoSig",0,989
"CSF2RA",10,100,"NoSig",0,989
"CSF2RB",10,100,"NoSig",0,989
"CSF3",10,100,"NoSig",0,989
"CSF3R",10,100,"NoSig",0,989
"CSHL1",10,100,"NoSig",0,989
"CSK",10,100,"NoSig",0,989
"CSPG4",10,100,"NoSig",0,989
"CST7",10,100,"NoSig",0,989
"CSTB",10,100,"NoSig",0,989
"CTLA4",10,100,"NoSig",0,989
"CTNNB1",10,100,"NoSig",0,989
"CTSD",10,100,"NoSig",0,989
"CTSG",10,100,"NoSig",0,989
"CTSW",10,100,"NoSig",0,989
"CUZD1",10,100,"NoSig",0,989
"CX3CL1",10,100,"NoSig",0,989
"CX3CR1",10,100,"NoSig",0,989
"CXCL1",10,100,"NoSig",0,989
"CXCL10",10,100,"NoSig",0,989
"CXCL12",10,100,"NoSig",0,989
"CXCL13",10,100,"c4",0.400868331957461,989
"CXCL14",10,100,"NoSig",0,989
"CXCL16",10,100,"NoSig",0,989
"CXCL17",10,100,"NoSig",0,989
"CXCL5",10,100,"NoSig",0,989
"CXCL8",10,100,"NoSig",0,989
"CXCL9",10,100,"NoSig",0,989
"CXCR1",10,100,"NoSig",0,989
"CXCR2",10,100,"NoSig",0,989
"CXCR3",10,100,"NoSig",0,989
"CXCR4",10,100,"c4",1.61213489635351,989
"CXCR5",10,100,"NoSig",0,989
"CXCR6",10,100,"NoSig",0,989
"CYP1B1",10,100,"NoSig",0,989
"CYP2U1",10,100,"NoSig",0,989
"CYSTM1",10,100,"NoSig",0,989
